ref,heading,source_basis,status
Genesis 18:9,Sarah Laughs at the Promise,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 18:16,Abraham Pleads for Sodom,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 19:1,Sodom and Lot,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 19:12,Lot Flees to Zoar,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 19:24,Destruction of Sodom and Gomorrah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 19:30,Lot's Daughters,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 20:1,Abraham and Abimelech,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 21:1,Isaac Born,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 21:9,Sarah Turns Against Hagar,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 21:22,Covenant at Beersheba,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 22:1,Isaac Offered,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 22:11,Lord Provides the Sacrifice,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 22:20,Nahor's Line,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 23:1,Sarah's Burial,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 24:1,A Wife for Isaac,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 24:15,Rebekah Is Chosen,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 24:62,Rebekah Meets Isaac,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 25:1,Abraham's Later Sons,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 25:7,Abraham Dies,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 25:12,Ishmael's Generations,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 25:19,Isaac's Generations,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 25:29,Jacob Buys Esau's Birthright,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 26:1,Isaac in Gerar,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 26:6,Isaac Deceives Abimelech,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 26:12,Wells and Treaty,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 26:26,Isaac's Covenant with Abimelech,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 26:34,Esau's Wives,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 27:1,Jacob Receives Isaac's Blessing,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 27:30,Esau's Lost Hope,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 28:1,Jacob's Departure,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 28:6,Esau Marries Mahalath,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 28:10,Jacob's Ladder,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 28:18,Stone of Bethel,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 29:1,Jacob Meets Rachel,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 29:14,Jacob Marries Leah and Rachel,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 29:31,Jacob's Sons Begin,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 30:1,Dan and Naphtali,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 30:9,Gad and Asher,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 30:17,"Issachar, Zebulun, and Dinah",Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 30:22,Joseph,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 30:25,Jacob's Flocks,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 31:1,Jacob Leaves Laban,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 31:22,Laban Pursues Jacob,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 31:43,Jacob's Covenant with Laban,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 32:1,Jacob Prepares to Meet Esau,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 32:22,Jacob Wrestles,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 33:1,Jacob Meets Esau,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 33:18,Jacob Settles in Shechem,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 34:1,Dinah and Shechem,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 34:13,Revenge of Dinah's Brothers,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 35:1,Jacob Returns to Bethel,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 35:16,Rachel Dies,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 35:27,Death of Isaac,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 36:1,Esau's Generations,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 36:20,Seir's Sons,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 36:31,Kings of Edom,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 37:1,Joseph's Dreams,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 37:12,Joseph Sold,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 37:31,Jacob Mourns Joseph,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 38:1,Judah and Tamar,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 38:27,Birth of Perez and Zerah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 39:1,Joseph in Egypt,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 39:13,Joseph Falsely Imprisoned,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 40:1,Joseph Interprets Prison Dreams,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 41:1,Pharaoh's Dreams,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 41:14,Joseph Interprets Pharaoh's Dreams,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 41:37,Joseph Set Over Egypt,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 41:46,Seven Years of Plenty,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 41:53,Famine Begins,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 42:1,Joseph's Brothers in Egypt,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 42:25,Joseph's Brothers Return to Canaan,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 43:1,Benjamin Sent to Egypt,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 43:16,Joseph's Hospitality to His Brothers,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 44:1,Joseph Tests His Brothers,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 44:18,Judah Pleads for Benjamin,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 45:1,Joseph Reveals Himself,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 45:9,Joseph Sends for His Father,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 45:16,Pharaoh Invites Jacob to Egypt,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 45:25,Revival of Jacob,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 46:1,Jacob Goes to Egypt,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 46:7,Those Who Went to Egypt,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 46:8,Jacob's Family Listed,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 46:16,Children of Zilpah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 46:19,Children of Rachel,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 46:23,Children of Bilhah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 46:28,Jacob Arrives in Egypt,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 47:1,Jacob Before Pharaoh,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 47:13,Joseph and the Famine,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 47:27,Israelites Prosper in Goshen,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Genesis 48:1,Jacob Blesses Ephraim and Manasseh,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 49:1,Jacob Blesses His Sons,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 49:29,Jacob's Death,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 50:1,Jacob Buried,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 50:15,Joseph Reassures His Brothers,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Genesis 50:22,Joseph's Death,Original CC-BY editorial heading informed by public-domain Genesis structure,active
Exodus 1:1,Israelites Multiply in Egypt,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 1:8,Oppression by a New King,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 2:1,Birth and Adoption of Moses,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 2:11,Rejection and Flight of Moses,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 2:23,God Hears the Cry of the Israelites,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 3:1,Moses at the Burning Bush,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 4:1,Moses' Staff,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 4:6,Moses' Hand,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 4:10,Appointment of Aaron,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 4:18,Moses Leaves for Egypt,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 4:27,People Believe Moses and Aaron,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 5:1,Pharaoh's First Refusal,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 5:6,Bricks and Straw,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 5:15,Cry of the Israelites,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 6:1,God Promises Deliverance,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 6:14,Genealogies of Moses and Aaron,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 7:1,God Commands Moses and Aaron,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 7:8,Aaron's Staff,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 7:14,First Plague: Blood,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 8:1,Second Plague: Frogs,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 8:16,Third Plague: Gnats,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 8:20,Fourth Plague: Flies,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 9:1,Fifth Plague: Livestock,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 9:8,Sixth Plague: Boils,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 9:13,Seventh Plague: Hail,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 10:1,Eighth Plague: Locusts,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 10:21,Ninth Plague: Darkness,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 11:1,Plague on the Firstborn Foretold,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 12:1,First Passover,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 12:14,Feast of Unleavened Bread,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 12:29,Tenth Plague: Death of the Firstborn,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 12:31,Exodus Begins,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 12:43,Instructions for the Passover,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 13:1,Dedication of the Firstborn,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 13:17,Pillars of Cloud and Fire,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 14:1,Pharaoh Pursues the Israelites,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 14:15,Parting the Red Sea,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 15:1,Song at the Sea,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 15:22,Waters of Marah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 16:1,Manna and Quail from Heaven,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 16:22,Sabbath Observed,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 16:31,Jar of Manna,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 17:1,Water from the Rock,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 17:8,Defeat of the Amalekites,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 18:1,Visit of Jethro,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 18:13,Jethro Advises Moses,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 19:1,Israel at Mount Sinai,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 19:16,Lord Visits Sinai,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 20:1,Ten Commandments,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 20:18,Moses Comforts the People,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 20:22,Idolatry Forbidden,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 21:1,Hebrew Servants,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 21:12,Personal Injury Laws,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 22:1,Property Laws,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 22:16,Laws of Social Responsibility,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 23:1,Justice and Mercy,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 23:10,Sabbath Laws,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 23:14,Three Feasts of Pilgrimage,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 23:20,God's Angel to Lead,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 24:1,Covenant Sealed,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 24:12,Moses on the Mountain,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 25:1,Offerings for the Tabernacle,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 25:10,Ark of the Covenant,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 25:17,Mercy Seat,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 25:23,Table of Showbread,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 25:31,Lampstand,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 26:1,Ten Curtains for the Tabernacle,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 26:7,Eleven Curtains of Goat Hair,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 26:15,Frames and Bases,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 26:31,Veil,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 26:36,Curtain for the Entrance,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 27:1,Bronze Altar,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 27:9,Courtyard,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 27:20,Oil for the Lamps,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 28:1,Garments for the Priests,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 28:6,Ephod,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 28:15,Breastpiece,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 28:31,Additional Priestly Garments,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 29:1,Consecration of the Priests,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 29:10,Order of the Sacrifices,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 29:31,Food for the Priests,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 29:38,Daily Offerings,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 29:45,God Will Dwell Among the People,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 30:1,Altar of Incense,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 30:11,Census Offering,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 30:17,Bronze Basin,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 30:22,Anointing Oil,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Exodus 30:34,Incense,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
