ref,marker_types,draft_translation,comparison_notes,greek_absent_in_ethiopic,ethiopic_absent_in_greek,restored_text,interpolations,supplied_text,emended_text,corrupt_text,next_review
1 Enoch 6:6,greek_absent_in_ethiopic; emended_text,"And they were in all two hundred; who descended in the days of Jared on the summit of Mount Hermon, and they called it Mount Hermon, because they had sworn and bound themselves by mutual imprecations upon it.",G^g has text absent from Ethiopic: in the days; Charles emended text: Jared,in the days,,,,,Jared,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 6:7,emended_text,"And these are the names of their leaders: Sêmîazâz, their leader, Arâkîba, Râmêêl, Kôkabîêl, Tâmîêl, Râmîêl, Dânêl, Êzêqêêl, Barâqîjâl, Asâêl, Armârôs, Batârêl, Anânêl, Zaqîêl, Samsâpêêl, Satarêl, Tûrêl, Jômjâêl, Sariêl.",Charles emended text: Sariêl,,,,,,Sariêl,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 8:1,restored_text; emended_text,"And Azâzêl taught men to make swords, and knives, and shields, and breastplates, and made known to them the metals of the earth and the art of working them, and bracelets, and ornaments, and the use of antimony, and the beautifying of the eyelids, and all kinds of costly stones, and all colouring tinctures.",Charles restored text: of the earth; Charles emended text: the metals,,,of the earth,,,the metals,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 8:3,restored_text; supplied_text; emended_text,"Semjâzâ taught enchantments, and root-cuttings, Armârôs the resolving of enchantments, Barâqîjâl, (taught) astrology, Kôkabêl the constellations, Ezêqêêl the knowledge of the clouds, Araqiêl the signs of the earth, Shamsiêl the signs of the sun, and Sariêl the course of the moon.","Charles restored text: Araqiêl the signs of the earth, Shamsiêl the signs of the sun; Charles supplied text: taught; Charles emended text: Ezêqêêl the knowledge of the clouds",,,"Araqiêl the signs of the earth, Shamsiêl the signs of the sun",,taught,Ezêqêêl the knowledge of the clouds,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 9:2,corrupt_text,"And they said one to another: ‘The earth, made without inhabitant, cries the voice of their crying up to the gates of heaven.","Charles marks corrupt text: without inhabitant, cries the voice of their crying",,,,,,,"without inhabitant, cries the voice of their crying",Review Charles editorial marker before using this wording in an appendix.
1 Enoch 9:3,ethiopic_absent_in_greek,"And now to you, the holy ones of heaven, the souls of men make their suit, saying, “Bring our cause before the Most High”.’","Ethiopic has text absent from G^g/G^s: And now to you, the holy ones of heaven",,"And now to you, the holy ones of heaven",,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 9:4,restored_text; supplied_text; emended_text,"And they said to the Lord of the ages: ‘Lord of lords, God of gods, King of kings and God of the ages, the throne of Thy glory (standeth) unto all the generations of the ages, and Thy name holy and glorious and blessed unto all the ages!",Charles restored text: and God of the ages; Charles supplied text: standeth; Charles emended text: of the ages,,,and God of the ages,,standeth,of the ages,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 9:6,supplied_text; emended_text,"Thou seest what Azâzêl hath done, who hath taught all unrighteousness on earth and revealed the eternal secrets which were (preserved) in heaven, which men were striving to learn:",Charles supplied text: preserved; Charles emended text: learn,,,,,preserved,learn,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 9:10,emended_text,"And now, behold, the souls of those who have died are crying and making their suit to the gates of heaven, and their lamentations have ascended: and cannot cease because of the lawless deeds which are wrought on the earth.",Charles emended text: cease,,,,,,cease,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 10:1,emended_text,"Then said the Most High, the Holy and Great One spake, and sent Uriel to the son of Lamech, and said to him:",Charles emended text: Uriel,,,,,,Uriel,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 10:2,restored_text,"‘Go to Noah and tell him in my name “Hide thyself!”, and reveal to him the end that is approaching: that the whole earth will be destroyed, and a deluge is about to come upon the whole earth, and will destroy all that is on it.",Charles restored text: Go to Noah and,,,Go to Noah and,,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 10:7,emended_text,"And heal the earth which the angels have corrupted, and proclaim the healing of the earth, that they may heal the plague, and that all the children of men may not perish through all the secret things that the Watchers have disclosed and have taught their sons.",Charles emended text: disclosed,,,,,,disclosed,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 10:9,interpolations,"And to Gabriel said the Lord: ‘Proceed against the bastards and the reprobates, and against the children of fornication: and destroy the children of fornication and the children of the Watchers from amongst men: and cause them to go forth: send them one against the other that they may destroy each other in battle: for length of days shall they not have.",Charles marks interpolation: the children of fornication and; and cause them to go forth,,,,the children of fornication and; and cause them to go forth,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 10:10,supplied_text,"And no request that they (i. e. their fathers) make of thee shall be granted unto their fathers on their behalf; for they hope to live an eternal life, and that each one of them will live five hundred years.’",Charles supplied text: _i. e._ their fathers,,,,,_i. e._ their fathers,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 10:11,emended_text,"And the Lord said unto Michael: ‘Go, bind Semjâzâ and his associates who have united themselves with women so as to have defiled themselves with them in all their uncleanness.",Charles emended text: bind,,,,,,bind,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 10:12,emended_text,"And, when their sons have slain one another, and they have seen the destruction of their beloved ones, bind them fast for seventy generations in the valleys of the earth, till the day of their judgement and of their consummation, till the judgement that is for ever and ever is consummated.",Charles emended text: valleys,,,,,,valleys,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 10:13,restored_text,In those days they shall be led off to the abyss of fire: and to the torment and the prison in which they shall be confined for ever.,Charles restored text: and,,,and,,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 10:14,emended_text,And whosoever shall be condemned and destroyed will from thenceforth be bound together with them to the end of all generations.,Charles emended text: condemned,,,,,,condemned,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 10:16,greek_absent_in_ethiopic,"Destroy all wrong from the face of the earth, and let every evil work come to an end: and let the plant of righteousness and truth appear: and it shall prove a blessing: the works of righteousness and truth shall be planted in truth and joy for evermore.",G^g has text absent from Ethiopic: and it shall prove a blessing: the works of righteousness and truth,and it shall prove a blessing: the works of righteousness and truth,,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 10:17,emended_text,"And then shall all the righteous escape, And shall live till they beget thousands of children, And all the days of their youth and their old age shall they complete in peace.",Charles emended text: old age,,,,,,old age,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 10:19,supplied_text,"And all desirable trees shall be planted on it, and they shall plant vines on it: and the vine which they plant thereon shall yield wine in abundance, and as for all the seed which is sown thereon each measure (of it) shall bear a thousand, and each measure of olives shall yield ten presses of oil.",Charles supplied text: of it,,,,,of it,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 10:21,greek_absent_in_ethiopic,"And all the children of men shall become righteous, and all nations shall offer adoration and shall praise Me, and all shall worship Me.",G^g has text absent from Ethiopic: And all the children of men shall become righteous,And all the children of men shall become righteous,,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 10:22,supplied_text,"And the earth shall be cleansed from all defilement, and from all sin, and from all punishment, and from all torment, and I will never again send (them) upon it from generation to generation and for ever.",Charles supplied text: them,,,,,them,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 11:1,greek_absent_in_ethiopic,"And in those days I will open the store chambers of blessing which are in the heaven, so as to send them down upon the earth over the work and labour of the children of men.",G^g has text absent from Ethiopic: upon the earth,upon the earth,,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 11:2,emended_text,And truth and peace shall be associated together throughout all the days of the world and throughout all the generations of men.’,Charles emended text: of men,,,,,,of men,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 12:3,emended_text,"And I, Enoch, was blessing the Lord of majesty and the King of the ages, and lo! the Watchers called me—Enoch the scribe—and said to me:",Charles emended text: majesty,,,,,,majesty,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 12:4,corrupt_text,"‘Enoch, thou scribe of righteousness, go, declare to the Watchers of the heaven who have left the high heaven, the holy eternal place, and have defiled themselves with women, and have done as the children of earth do, and have taken unto themselves wives: “Ye have wrought great destruction on the earth:",Charles marks corrupt text: declare,,,,,,,declare,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 12:5,corrupt_text,"And ye shall have no peace nor forgiveness of sin: and inasmuch as they delight themselves in their children,",Charles marks corrupt text: they; their,,,,,,,they; their,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 12:6,corrupt_text,"The murder of their beloved ones shall they see, and over the destruction of their children shall they lament, and shall make supplication unto eternity, but mercy and peace shall ye not attain.”’",Charles marks corrupt text: their; they; their; they,,,,,,,their; they; their; they,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 13:2,corrupt_text,"And thou shalt not have toleration nor request granted to thee, because of the unrighteousness which thou hast taught, and because of all the works of godlessness and unrighteousness and sin which thou hast shown to men.’",Charles marks corrupt text: request,,,,,,,request,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 13:5,supplied_text,For from thenceforward they could not speak (with Him) nor lift up their eyes to heaven for shame of their sins for which they had been condemned.,Charles supplied text: with Him,,,,,with Him,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 13:6,restored_text; corrupt_text,"Then I wrote out their petition, and the prayer in regard to their spirits and their deeds individually and in regard to their requests that they should have forgiveness and length of days.",Charles restored text: of days; Charles marks corrupt text: in regard to their spirits and their deeds individually and in regard to their requests that they should have forgiveness and length ‹of days›,,,of days,,,,in regard to their spirits and their deeds individually and in regard to their requests that they should have forgiveness and length ‹of days›,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 13:8,greek_absent_in_ethiopic; supplied_text,"And behold a dream came to me, and visions fell down upon me, and I saw visions of chastisement, and a voice came bidding (me) to tell it to the sons of heaven, and reprimand them.",G^g has text absent from Ethiopic: and a voice came bidding (me); Charles supplied text: me,and a voice came bidding (me),,,,me,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 14:3,ethiopic_absent_in_greek,"As He hath created and given to man the power of understanding the word of wisdom, so hath He created me also and given me the power of reprimanding the Watchers, the children of heaven.","Ethiopic has text absent from G^g/G^s: to man the power of understanding the word of wisdom, so hath He created me also and given",,"to man the power of understanding the word of wisdom, so hath He created me also and given",,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 14:4,ethiopic_absent_in_greek; supplied_text,"I wrote out your petition, and in my vision it appeared thus, that your petition will not be granted unto you throughout all the days of eternity, and that judgement has been finally passed upon you: yea (your petition) will not be granted unto you.","Ethiopic has text absent from G^g/G^s: throughout all the days of eternity, and that judgement has been finally passed upon you: yea (your petition) will not be granted unto you; Charles supplied text: your petition",,"throughout all the days of eternity, and that judgement has been finally passed upon you: yea (your petition) will not be granted unto you",,,your petition,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 14:5,greek_absent_in_ethiopic,"And from henceforth you shall not ascend into heaven unto all eternity, and in bonds of the earth the decree has gone forth to bind you for all the days of the world.",G^g has text absent from Ethiopic: in bonds,in bonds,,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 14:6,supplied_text,"And (that) previously you shall have seen the destruction of your beloved sons and you shall have no pleasure in them, but they shall fall before you by the sword.",Charles supplied text: that,,,,,that,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 14:7,emended_text,"And your petition on their behalf shall not be granted, nor yet on your own: even though you weep and pray and speak all the words contained in the writing which I have written.",Charles emended text: speak all the words,,,,,,speak all the words,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 14:8,emended_text,"And the vision was shown to me thus: Behold, in the vision clouds invited me and a mist summoned me, and the course of the stars and the lightnings sped and hastened me, and the winds in the vision caused me to fly and lifted me upward, and bore me into heaven.",Charles emended text: hastened,,,,,,hastened,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 14:10,supplied_text,"And I went into the tongues of fire and drew nigh to a large house which was built of crystals: and the walls of the house were like a tesselated floor (made) of crystals, and its groundwork was of crystal.",Charles supplied text: made,,,,,made,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 14:11,supplied_text,"Its ceiling was like the path of the stars and the lightnings, and between them were fiery cherubim, and their heaven was (clear as) water.",Charles supplied text: clear as,,,,,clear as,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 14:18,ethiopic_absent_in_greek; emended_text,"And I looked and saw therein a lofty throne: its appearance was as crystal, and the wheels thereof as the shining sun, and there was the vision of cherubim.",Ethiopic has text absent from G^g/G^s: therein; Charles emended text: vision,,therein,,,,vision,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 14:22,supplied_text,"The flaming fire was round about Him, and a great fire stood before Him, and none around could draw nigh Him: ten thousand times ten thousand (stood) before Him, yet He needed no counsellor.",Charles supplied text: stood,,,,,stood,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 14:25,greek_absent_in_ethiopic,"And one of the holy ones came to me and waked me, and He made me rise up and approach the door: and I bowed my face downwards.",G^g has text absent from Ethiopic: And one of the holy ones came to me and waked me,And one of the holy ones came to me and waked me,,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 15:2,ethiopic_absent_in_greek,"And go, say to the Watchers of heaven, who have sent thee to intercede for them: “You should intercede for men, and not men for you:",Ethiopic has text absent from G^g/G^s: the Watchers of heaven; for them: “You should intercede,,the Watchers of heaven; for them: “You should intercede,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 15:3,supplied_text,"Wherefore have ye left the high, holy, and eternal heaven, and lain with women, and defiled yourselves with the daughters of men and taken to yourselves wives, and done like the children of earth, and begotten giants (as your) sons.",Charles supplied text: as your,,,,,as your,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 15:4,greek_absent_in_ethiopic; supplied_text; emended_text,"And though ye were holy, spiritual, living the eternal life, you have defiled yourselves with the blood of women, and have begotten (children) with the blood of flesh, and, as the children of men, have lusted after flesh and blood as those also do who die and perish.",G^g has text absent from Ethiopic: also; Charles supplied text: children; Charles emended text: as the children,also,,,,children,as the children,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 15:6,greek_absent_in_ethiopic,"But you were formerly spiritual, living the eternal life, and immortal for all generations of the world.",G^g has text absent from Ethiopic: formerly,formerly,,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 15:9,greek_absent_in_ethiopic; ethiopic_absent_in_greek; emended_text,"Evil spirits have proceeded from their bodies; because they are born from men, and from the holy Watchers is their beginning and primal origin; they shall be evil spirits on earth, and evil spirits shall they be called.","G^g has text absent from Ethiopic: they shall be evil spirits on earth, and; Ethiopic has text absent from G^g/G^s: and; Charles emended text: men","they shall be evil spirits on earth, and",and,,,,men,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 15:11,greek_absent_in_ethiopic; emended_text,"And the spirits of the giants afflict, oppress, destroy, attack, do battle, and work destruction on the earth, and cause trouble: they take no food, but nevertheless hunger and thirst, and cause offences.",G^g has text absent from Ethiopic: but nevertheless hunger; Charles emended text: afflict,but nevertheless hunger,,,,,afflict,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 15:12,greek_absent_in_ethiopic,"And these spirits shall rise up against the children of men and against the women, because they have proceeded from them.",G^g has text absent from Ethiopic: from them,from them,,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 16:1,greek_absent_in_ethiopic,"From the days of the slaughter and destruction and death of the giants, from the souls of whose flesh the spirits, having gone forth, shall destroy without incurring judgement—thus shall they destroy until the day of the consummation, the great judgement in which the age shall be consummated over the Watchers and the godless, yea, shall be wholly consummated.”",G^g has text absent from Ethiopic: of the giants; judgement,of the giants; judgement,,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 16:2,ethiopic_absent_in_greek; supplied_text,"And now as to the Watchers who have sent thee to intercede for them, who had been aforetime in heaven, (say to them):",Ethiopic has text absent from G^g/G^s: aforetime; Charles supplied text: say to them,,aforetime,,,say to them,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 16:3,greek_absent_in_ethiopic,"“You have been in heaven, but all the mysteries had not yet been revealed to you, and you knew worthless ones, and these in the hardness of your hearts you have made known to the women, and through these mysteries women and men work much evil on earth.”",G^g has text absent from Ethiopic: all,all,,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 17:1,greek_absent_in_ethiopic,"And they took and brought me to a place in which those who were there were like flaming fire, and when they wished, they appeared as men.",G^g has text absent from Ethiopic: and,and,,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 17:3,greek_absent_in_ethiopic; ethiopic_absent_in_greek; emended_text,"And I saw the places of the luminaries and the treasuries of the stars and of the thunder, and in the uttermost depths, where were a fiery bow and arrows and their quiver, and a fiery sword and all the lightnings.",G^g has text absent from Ethiopic: and the treasuries of the stars; and; Ethiopic has text absent from G^g/G^s: and a fiery sword; Charles emended text: uttermost depths,and the treasuries of the stars; and,and a fiery sword,,,,uttermost depths,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 17:6,greek_absent_in_ethiopic,"I saw the great rivers and came to the great river and to the great darkness, and went to the place where no flesh walks.",G^g has text absent from Ethiopic: river and to the great,river and to the great,,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 18:2,interpolations,And I saw the corner-stone of the earth: I saw the four winds which bear the earth and the firmament of the heaven.,Charles marks interpolation: the earth and,,,,the earth and,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 18:3,ethiopic_absent_in_greek,"And I saw how the winds stretch out the vaults of heaven, and have their station between heaven and earth: these are the pillars of the heaven.",Ethiopic has text absent from G^g/G^s: And I saw how the winds stretch out the vaults of heaven; these are the pillars of the heaven,,And I saw how the winds stretch out the vaults of heaven; these are the pillars of the heaven,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 18:5,ethiopic_absent_in_greek,I saw the winds on the earth carrying the clouds: I saw the paths of the angels: I saw at the end of the earth the firmament of the heaven above.,Ethiopic has text absent from G^g/G^s: the paths of the angels: I saw,,the paths of the angels: I saw,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 18:7,restored_text; emended_text,"And as for those towards the east one was of coloured stone, and one of pearl, and one of jacinth, and those towards the south of red stone.",Charles restored text: one; Charles emended text: jacinth,,,one,,,jacinth,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 18:11,ethiopic_absent_in_greek,"And I saw a deep abyss, with columns of heavenly fire, and among them I saw columns of fire fall, which were beyond measure alike towards the height and towards the depth.","Ethiopic has text absent from G^g/G^s: of heavenly fire, and among them I saw columns",,"of heavenly fire, and among them I saw columns",,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 18:16,greek_absent_in_ethiopic; supplied_text,"And He was wroth with them, and bound them till the time when their guilt should be consummated (even) for ten thousand years.’",G^g has text absent from Ethiopic: for ten thousand years; Charles supplied text: even,for ten thousand years,,,,even,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 19:1,ethiopic_absent_in_greek; supplied_text,"And Uriel said to me: ‘Here shall stand the angels who have connected themselves with women, and their spirits, assuming many different forms, are defiling mankind, and shall lead them astray into sacrificing to demons as gods, (here shall they stand), till the day of the great judgement in which they shall be judged till they are made an end of.",Ethiopic has text absent from G^g/G^s: as gods; the day of; Charles supplied text: here shall they stand,,as gods; the day of,,,here shall they stand,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 20:4,corrupt_text,"Raguel, one of the holy angels who takes vengeance on the world of the luminaries.",Charles marks corrupt text: takes vengeance on,,,,,,,takes vengeance on,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 20:5,ethiopic_absent_in_greek,"Michael, one of the holy angels, to wit, he that is set over the best part of mankind and over chaos.",Ethiopic has text absent from G^g/G^s: and,,and,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 21:6,greek_absent_in_ethiopic,"These are of the number of the stars of heaven which have transgressed the commandment of the Lord, and are bound here till ten thousand years, the time entailed by their sins, are consummated.’",G^g has text absent from Ethiopic: of heaven,of heaven,,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 21:10,ethiopic_absent_in_greek,"And he said unto me: ‘This place is the prison of the angels, and here they will be imprisoned for ever.’",Ethiopic has text absent from G^g/G^s: unto me,,unto me,,,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 22:1,greek_absent_in_ethiopic; interpolations,"And thence I went to another place, and he showed me in the west another great and high mountain and of hard rock. E",G^g has text absent from Ethiopic: another; Charles marks interpolation: and,another,,,and,,,,Compare extant Greek witness with Ethiopic-base Charles text.
1 Enoch 22:2,emended_text; corrupt_text,"And there was in it four hollow places, deep and wide and very smooth. How smooth are the hollow places and deep and dark to look at. G^g And there were four hollow places in it, deep and very smooth: three of them were dark and one bright; and there was a fountain of water in its midst. And I said: ‘How smooth are these hollow places, and deep and dark to view.’",Charles emended text: hollow; the hollow places; Charles marks corrupt text: four; How; four; three; How,,,,,,hollow; the hollow places,four; How; four; three; How,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 22:4,interpolations; supplied_text; emended_text,"And these places have been made to receive them till the day of their judgement and till their appointed period till the period appointed, till the great judgement (comes) upon them.’ E",Charles marks interpolation: till the period appointed; Charles supplied text: comes; Charles emended text: have been made,,,,till the period appointed,comes,have been made,,Review Charles editorial marker before using this wording in an appendix.
