book_code,book_name,canonical_order,section,intro_title,traditional_author,authorship_basis,jesus_or_nt_attribution,composition_date,mt_timeline,lxx_timeline,historical_setting,purpose_theme,key_themes,outline,oldest_fragment,oldest_fragment_date,oldest_substantial_manuscript,oldest_substantial_date,oldest_complete_hebrew,oldest_complete_hebrew_date,oldest_complete_greek,oldest_complete_greek_date,oldest_external_reference,oldest_external_reference_author,oldest_external_reference_date,textual_notes,conservative_notes,source_notes,status
2KI,2 Kings,12,OT,2 Kings,Jeremiah (traditional conservative view),"Conservative tradition reads 1-2 Kings as one prophetic history shaped from royal and prophetic records, commonly linked with Jeremiah.","Later Scripture consistently treats the fall of Samaria and Jerusalem as real covenant judgments exactly as Kings presents them.",exilic composition using earlier records and prophetic material,"MT chronology runs from Ahaziah and Elisha through the falls of Samaria and Jerusalem and the exile.","The LXX preserves the same exile-centered history while differing at points from the MT in names, order, and phrasing.","The decline of both kingdoms to exile, with prophetic ministries including Elisha, Isaiah's era, and the final collapse of Judah.","To explain exile as covenant judgment while preserving hope through prophetic witness and Davidic continuity.","exile; covenant curse; prophetic warning; reform; apostasy; remnant","Elisha and kings 1-8; Jehu and later northern kingdom 9-17; Judah's decline to exile 18-25.","Qumran Kings fragments are sparse",Second Temple period,"As with 1 Kings, the main early full-book comparison is between the later Hebrew tradition and the ancient Greek witnesses",n/a,Leningrad Codex,AD 1008,"Codex Vaticanus and Codex Alexandrinus preserve 2 Kings in Greek",4th-5th century AD,"Retelling of the exilic catastrophe",Josephus,1st century AD,"2 Kings is central to evaluating how MT and LXX preserve royal and exilic history, especially in synchronisms and proper names.","This edition receives 2 Kings as true prophetic interpretation of Israel's fall under God's covenant sanctions.","Josephus Antiquities; major codex catalogues; general studies of Kingdoms/Kings in the LXX.",draft
1CH,1 Chronicles,13,OT,1 Chronicles,Ezra (traditional conservative view),"Conservative tradition often links Chronicles to Ezra; the genealogical and priestly concerns fit a post-exilic covenant-restoration setting.","No direct NT attribution names the human author, but Chronicles participates in the inspired canonical history Christ endorsed in the Hebrew Scriptures.",post-exilic, likely 5th century BC,"MT chronology surveys from Adam to David, then narrows to David's reign with strong priestly and worship emphasis.","The Greek tradition preserves the same broad shape, though Chronicles has far fewer dramatic MT/LXX divergences than Samuel-Kings.","Post-exilic retelling of sacred history from Adam to David, written for the restored community.","To reframe Israel's history around covenant continuity, temple worship, priesthood, and the Davidic line.","genealogy; temple worship; Levites; Davidic kingship; covenant continuity","Genealogies 1-9; David's reign and preparations for worship 10-29.","Qumran Chronicles fragments survive only in limited form",Second Temple period,"No extensive early Qumran witness comparable to Samuel; the chronicler's text is chiefly known from later Hebrew manuscripts and Greek tradition",n/a,Leningrad Codex,AD 1008,"Codex Alexandrinus preserves Chronicles in Greek; Vaticanus is defective in parts of the historical books",5th century AD,"Use of Chronicles material in later Jewish historiography",Josephus,1st century AD,"Chronicles often preserves an interpretive retelling distinct from Samuel-Kings; textual work must distinguish redactional purpose from transmissional difference.","This edition receives Chronicles as inspired post-exilic sacred history, not revisionist fiction, and sees its selectivity as theological focus under inspiration.","Josephus Antiquities; codex notices for Alexandrinus; standard conservative introductions.",draft
2CH,2 Chronicles,14,OT,2 Chronicles,Ezra (traditional conservative view),"Traditionally linked with Ezra as part of the same Chronicler history.","The NT does not name the human writer, but the temple and Davidic history it preserves is treated as real covenant history.",post-exilic, likely 5th century BC,"MT chronology continues from Solomon through the southern kings to Cyrus's decree.","The Greek tradition preserves the same Judah-centered framework with normal versional differences.","Judah's temple-centered history from Solomon to exile and restoration decree.","To explain Judah's history through worship, reform, apostasy, and the hope of restoration under the Davidic and temple promises.","temple; reform; apostasy; exile; restoration; Davidic line","Solomon and temple 1-9; Kings of Judah 10-36; Exile and Cyrus decree 36.","Qumran Chronicles fragments are limited",Second Temple period,"Early Hebrew evidence is limited; the principal full witnesses are medieval Hebrew plus ancient Greek tradition",n/a,Leningrad Codex,AD 1008,"Codex Alexandrinus preserves 2 Chronicles in Greek",5th century AD,"Use of Chronicles history in later Jewish writing",Josephus,1st century AD,"Chronicles should be read as complementary inspired history with its own theological emphases; textual divergence from Kings does not imply contradiction.","This edition receives 2 Chronicles as inspired historical theology for the restored community, culminating in the opening note of return.","Josephus Antiquities; codex notices; conservative introductions to Chronicles.",draft
EZR,Ezra,15,OT,Ezra,Ezra,"The book's first-person sections and priestly-scribal perspective support Ezran authorship, with possible final compilation of Ezra-Nehemiah materials.","Ezra's role as priest and scribe is affirmed within the book itself; later Scripture receives the restoration account as true sacred history.",5th century BC in the Persian period,"MT chronology begins with Cyrus's decree and spans the return, temple rebuilding, and Ezra's reform mission.","The Greek tradition preserves the same Persian-period restoration frame, though 1 Esdras witnesses a related alternate Greek arrangement of some material.","Return from Babylon, temple restoration, and covenant reform under Persian rule.","To show the LORD's faithfulness in restoring His people, temple, and law after exile.","return; temple; law; reform; covenant restoration; providence under empire","First return and temple rebuilding 1-6; Ezra's mission and reform 7-10.","4Q Ezra material is limited and often overlaps the broader Ezra-Nehemiah tradition",Second Temple period,"Early Hebrew evidence for Ezra is limited; comparison with Greek 1 Esdras is especially important",n/a,Leningrad Codex,AD 1008,"Codex Vaticanus and Alexandrinus preserve Ezra/Esdras material in Greek",4th-5th century AD,"Use of Persian restoration history",Josephus,1st century AD,"Ezra is text-critically important because 1 Esdras sometimes preserves material parallel to canonical Ezra with differences in order and wording.","This edition receives Ezra as true post-exilic history under God's providence, with Greek parallels used to illuminate, not unsettle, the canonical book.","Josephus Antiquities; major codex catalogues; standard introductions on Ezra and 1 Esdras.",draft
NEH,Nehemiah,16,OT,Nehemiah,Nehemiah with Ezran/Chronicler compilation,"The first-person memoir strongly supports Nehemiah's authorship of core sections, with compilation alongside Ezra materials in the final book.","No direct NT attribution names the writer, but Nehemiah's restoration history stands within the authoritative post-exilic Scriptures.","5th century BC in the Persian period,"MT chronology covers Nehemiah's wall rebuilding and covenant reforms after Ezra's earlier mission.","The Greek tradition preserves the same restoration setting, with some overlap and variation in the wider Ezra-Nehemiah/Esdras textual tradition.","Jerusalem's wall rebuilding, civic restoration, and covenant renewal under Persian rule.","To show God's providential restoration of Jerusalem's defenses, order, and covenant life.","restoration; leadership; prayer; reform; covenant renewal; opposition","Nehemiah's commission and rebuilding 1-7; Law and covenant renewal 8-10; community order and reforms 11-13.","Qumran Nehemiah evidence is very limited",Second Temple period,"Early Hebrew evidence is limited; later Hebrew manuscripts and the Greek Esdras tradition are primary witnesses",n/a,Leningrad Codex,AD 1008,"Greek Ezra-Nehemiah traditions preserved in major codices",4th-5th century AD,"Use of restoration history",Josephus,1st century AD,"Nehemiah must be read with awareness of the wider Ezra-Nehemiah textual tradition, especially where Greek witness and canonical division differ.","This edition receives Nehemiah as truthful restoration memoir-history under inspiration, not as a late didactic fiction.","Josephus Antiquities; codex notices; standard introductions to Ezra-Nehemiah.",draft
ESG,Esther,17,OT,Esther,Mordecai or a near-contemporary Jewish witness (traditional conservative view),"The book itself points to court knowledge and written records; Jewish tradition often linked it with Mordecai or a witness close to the events.","Though God's name is not explicit in the Hebrew form, the canonical narrative is received as true providential history preserving the covenant people.",Persian period, likely 5th century BC or soon after,"MT chronology places Esther in the reign of Ahasuerus/Xerxes I within the Persian dispersion.","The Greek Esther tradition is much fuller than the MT, adding prayers, letters, and explicit references to God; this edition's OT base uses the Greek Esther tradition in the LXX stream.","Jewish preservation in Persia during the reign of Ahasuerus, between return waves to Judah.","To show God's providential preservation of His covenant people under foreign rule and the origin of Purim.","providence; preservation; reversal; covenant people in exile; Purim","Royal court crisis 1-4; Esther's intervention 5-7; Deliverance and Purim 8-10.","4Q Proto-Esther? evidence is debated and no certain Qumran Esther manuscript is widely accepted",uncertain,"No certain Hebrew Qumran Esther witness is securely established",n/a,Leningrad Codex,AD 1008,"Codex Vaticanus and Alexandrinus preserve Greek Esther with additions",4th-5th century AD,"Retelling of Esther traditions",Josephus,1st century AD,"Esther is a major MT/LXX divergence point because the Greek tradition contains substantial additions absent from the MT; this study edition should note those differences clearly.","This edition receives Esther as true providential history and recognizes the Greek Esther tradition as an important witness in the LXX stream, while also noting its expansions over the MT form.","Josephus Antiquities; codex notices; major introductions on Greek Esther and the absence of a secure Qumran Esther manuscript.",draft
JOB,Job,18,OT,Job,Job or an early inspired patriarchal-era recorder (conservative options vary),"Conservative scholarship differs on the exact human writer, but commonly treats the book as preserving very early patriarchal wisdom history under inspiration.","James 5:11 treats Job as a real historical exemplar of endurance.",patriarchal-era setting; composition date debated,"MT places Job in wisdom literature without explicit historical anchoring, but many conservative readers place the events in the patriarchal period.","The LXX of Job is notably shorter than the MT and can reflect a different Greek Vorlage or abridgment history.","A wisdom dialogue set in the land of Uz around the suffering of a righteous man under God's sovereignty.","To vindicate God's wisdom and sovereignty in suffering and to expose the limits of merely human explanations.","suffering; sovereignty; wisdom; righteousness; endurance; divine speeches","Prologue 1-2; Dialogues 3-31; Elihu 32-37; The LORD's answer 38-42; Epilogue 42.","4Q Job and 11Q Targum Job witness early circulation of the book",Hasmonean period,"Qumran Job fragments preserve early Hebrew evidence, though the Greek Job tradition is especially significant",Second Temple period,Leningrad Codex,AD 1008,"Codex Vaticanus and Alexandrinus preserve Greek Job",4th-5th century AD,"Job used as historical example",James,1st century AD,"Job is a major MT/LXX comparison point because the Greek text is materially shorter than the MT; the difference should be noted regularly in apparatus work.","This edition receives Job as truthful wisdom history with originally inerrant wording, even where witness traditions differ substantially in extent or phrasing.","DSS archive entries for Job; major codex catalogues; James 5:11.",draft
PSA,Psalms,19,OT,Psalms,David chiefly, with Asaph, sons of Korah, Moses, Solomon, and others,"The superscriptions name many human authors; David remains the principal psalmist in both Scripture and tradition.","Jesus attributes Psalm 110 to David in Matthew 22:43-45; Acts 4:25 attributes Psalm 2 to David; Acts 1:16 treats the Psalms as spoken by the Spirit through David.",collected across Israel's history, chiefly 10th-5th centuries BC,"MT Psalms preserves the Hebrew five-book Psalter with 150 psalms.","The LXX Psalter differs in numbering and includes Psalm 151 in some traditions, an important issue for an LXX-based edition.","Israel's canonical hymnbook for worship, lament, kingship, repentance, wisdom, and messianic hope.","To teach the people of God how to pray, praise, lament, repent, hope, and worship in covenant fellowship.","praise; lament; kingship; Messiah; wisdom; repentance; worship","Books I-V of the Psalter; praise crescendo closes the collection.","Qumran Psalms manuscripts are abundant, including 11Q Psalms a",3rd-1st centuries BC,"11Q Psalms a is a substantial early Hebrew Psalms witness with notable collection features",Hasmonean period,Leningrad Codex,AD 1008,"Codex Alexandrinus and Vaticanus preserve the Greek Psalter",4th-5th century AD,"Psalm citations/allusions in early Jewish literature and the NT",Multiple,pre-Christian and 1st century AD,"Psalms is text-critically rich because of MT/LXX numbering differences, collection shape questions, and the presence of Psalm 151 in the Greek tradition.","This edition receives the Davidic and other inspired superscription claims seriously and treats Christ's and the apostles' Davidic attributions as decisive where they speak.","DSS Psalms material; Matthew 22:43-45; Acts 4:25; major codex catalogues.",draft
PRO,Proverbs,20,OT,Proverbs,Solomon chiefly, with Agur and Lemuel sections and later inspired compilation,"The book itself names Solomon as principal source and includes later collected materials plus named sayings of Agur and Lemuel.","1 Kings 4:32 testifies to Solomon's proverbial activity; the canonical book itself supplies the remaining internal attributions.",mainly 10th century BC with later collected sections,"MT Proverbs presents the standard Hebrew order of sayings and collections.","The LXX of Proverbs differs notably in order and some wording from the MT, making it a significant comparison point.","Wisdom instruction for covenant life under the fear of the LORD.","To impart practical, moral, and covenantal wisdom ordered under the fear of the LORD.","wisdom; fear of the LORD; righteousness; speech; family; kingship; discipline","Prologue 1-9; Solomonic sayings 10-24; Additional collections 25-29; Agur 30; Lemuel 31.","Qumran Proverbs fragments survive in limited form",Second Temple period,"Early Hebrew evidence is limited compared with Psalms or Samuel, so the MT and ancient versions carry special weight",n/a,Leningrad Codex,AD 1008,"Codex Vaticanus and Alexandrinus preserve Greek Proverbs",4th-5th century AD,"Use of proverbial material in later Jewish wisdom tradition",Ben Sira and others,2nd century BC and later,"Proverbs is one of the books where the Greek tradition can differ markedly in order and arrangement from the MT.","This edition receives Solomonic authorship where the text claims it and treats later collected sections as inspired canonical compilation rather than anonymous accretion devoid of authority.","Major codex catalogues; 1 Kings 4:32; standard introductions to Proverbs.",draft
ECC,Ecclesiastes,21,OT,Ecclesiastes,Solomon (Qoheleth) in conservative evangelical reading,"The speaker identifies himself as son of David, king in Jerusalem; conservative interpretation receives this as Solomonic.","The canonical self-presentation is the principal basis; conservative readers do not treat the Solomonic voice as literary fiction.",10th century BC in Solomon's later life,"MT Ecclesiastes presents Qoheleth's reflections in the standard Hebrew form.","The LXX of Ecclesiastes is often quite literal but still participates in the broader Greek textual history of the book.","A wisdom reflection on life under the sun, mortality, vanity, and the fear of God.","To expose the vanity of life apart from God and to drive the reader to fear God and keep His commandments.","vanity; mortality; joy; wisdom; judgment; fear of God","Prologue 1:1-11; Qoheleth's investigations 1:12-12:7; Epilogue 12:8-14.","Qumran Ecclesiastes fragments survive, including 4Q109",1st century BC,"Qumran fragments provide early Hebrew support for the book's text",Late Second Temple period,Leningrad Codex,AD 1008,"Codex Vaticanus and Alexandrinus preserve Greek Ecclesiastes",4th-5th century AD,"Use in later Jewish and Christian wisdom reflection",Multiple,later Second Temple and early Christian periods,"Ecclesiastes is comparatively stable textually, though interpretation and voice remain more debated than the text itself.","This edition receives Ecclesiastes as Solomonic wisdom and reads its realism as fully compatible with inspiration and inerrancy.","DSS archive material for Ecclesiastes; major codex catalogues; conservative introductions.",draft
SNG,Song of Solomon,22,OT,Song of Solomon,Solomon,"The superscription identifies the Song with Solomon; conservative reading receives this straightforwardly.","The book's own superscription supplies the primary attribution.",10th century BC,"MT Song of Songs preserves the Hebrew love poetry collection in its canonical form.","The LXX preserves the same basic collection, though poetic nuance can shift in translation.","A poetic song celebrating covenantal love, beauty, longing, and marital delight.","To honor covenant love and marriage while also fitting within the wider canonical pattern of the Lord's delight in His people.","love; marriage; beauty; delight; covenant affection; desire rightly ordered","Opening desire 1-2; courtship and longing 3-5; mutual praise 6-8.","4Q Song of Songs fragments survive",Second Temple period,"Qumran fragments provide early Hebrew witness to the Song",Hasmonean-Herodian periods,Leningrad Codex,AD 1008,"Codex Vaticanus and Alexandrinus preserve the Song in Greek",4th-5th century AD,"Use in later Jewish interpretation",Rabbinic and later Jewish tradition,later Second Temple and after,"The Song is less about major textual divergence than poetic translation nuance between Hebrew and Greek.","This edition receives the Song as inspired Solomonic poetry honoring God-ordained love and marriage, without denying its place in the larger redemptive canon.","DSS archive material for Song fragments; major codex catalogues; conservative introductions.",draft
ISA,Isaiah,23,OT,Isaiah,Isaiah son of Amoz,"The book repeatedly names Isaiah son of Amoz, and conservative scholarship receives the whole canonical book as Isaianic prophecy.","John 12:38-41 cites both Isaiah 53 and Isaiah 6 as Isaiah; Matthew 13:14; Acts 28:25; Romans 10:16,20 all treat Isaiah as the prophet speaking these words.",8th century BC,ca. 740-680 BC,"MT chronology places Isaiah in the reigns of Uzziah, Jotham, Ahaz, and Hezekiah.","The LXX preserves the same prophetic horizon, though Isaiah is one of the major books where Greek renderings can significantly shape later quotation and interpretation.","Judah in the Assyrian crisis, with prophecy reaching far beyond to exile, restoration, and Messiah.","To announce the Holy One's judgment on sin and His salvation through the coming Servant-King.","holiness; judgment; remnant; Messiah; servant; Zion; new creation","Oracles of judgment and hope 1-39; Comfort and redemption 40-55; Restoration and consummation 56-66.","1Q Isaiah a, the Great Isaiah Scroll",2nd century BC,"1Q Isaiah a is an almost complete early Hebrew witness; 1Q Isaiah b and others also survive",2nd-1st centuries BC,Leningrad Codex,AD 1008,"Codex Vaticanus and Alexandrinus preserve Greek Isaiah",4th-5th century AD,"Extensive use in later Jewish literature and the NT",Multiple,2nd century BC onward,"Isaiah is a premier book for MT/LXX and NT quotation study because both traditions are richly attested and frequently cited.","This edition receives the entire canonical book as Isaiah's prophecy and treats NT attributions to Isaiah as decisive against partition theories that deny unity of authorship.","Great Isaiah Scroll resources; NT citations; major codex catalogues.",draft
JER,Jeremiah,24,OT,Jeremiah,Jeremiah with Baruch as scribal associate,"The book itself presents Jeremiah's prophetic ministry and Baruch's scribal role; conservative scholarship receives Jeremiah as the prophet behind the book.","Matthew 2:17; Hebrews 8:8 and other NT texts receive Jeremiah as the speaking prophet.",late 7th to early 6th century BC,"MT chronology follows Jeremiah's ministry from Josiah through Jerusalem's fall and aftermath.","The LXX of Jeremiah is substantially shorter and differently ordered than the MT, making it one of the most important textual comparison books in Scripture.","Judah's final decades before exile, with prophecies of judgment, exile, and new covenant hope.","To proclaim covenant judgment on Judah and the nations while promising restoration and the new covenant.","judgment; exile; new covenant; false prophecy; restoration; nations","Call and early oracles 1-25; Narrative and conflict 26-45; Oracles against the nations 46-51; Fall of Jerusalem 52.","4Q Jeremiah manuscripts, some aligning more with the LXX form",3rd-2nd centuries BC,"Qumran Jeremiah manuscripts provide crucial evidence for both longer and shorter textual forms",3rd-1st centuries BC,Leningrad Codex,AD 1008,"Codex Vaticanus and Alexandrinus preserve Greek Jeremiah",4th-5th century AD,"Use in later Jewish writing and heavily in the NT",Multiple,pre-Christian and 1st century AD,"Jeremiah is a flagship example of MT/LXX textual divergence, with major differences in order and extent and important Qumran support for shorter forms.","This edition receives Jeremiah as the true prophet of the book and treats textual plurality in transmission as a preservation issue, not as a denial of inspired prophetic authorship.","Qumran Jeremiah resources; Hebrews 8:8; major codex catalogues.",draft
LAM,Lamentations,25,OT,Lamentations,Jeremiah (traditional conservative view),"Jewish and Christian tradition long associated Lamentations with Jeremiah in response to Jerusalem's fall.","The NT does not explicitly name the writer, but the traditional Jeremianic setting remains the standard conservative reading.",shortly after 586 BC,"MT chronology places the poems in the aftermath of Jerusalem's destruction by Babylon.","The LXX preserves the same exilic lament setting and explicitly frames the poems with a Jeremianic superscription in some traditions.","Poetic lament over Jerusalem's destruction, suffering, sin, and hope in God's mercies.","To give faithful lament language for covenant catastrophe while sustaining hope in God's compassion.","lament; judgment; grief; confession; hope; mercy","Poems 1-4 over the fall; prayer for restoration 5.","4Q Lamentations fragments survive",Second Temple period,"Qumran fragments provide early Hebrew witness",Hasmonean-Herodian periods,Leningrad Codex,AD 1008,"Codex Vaticanus and Alexandrinus preserve Greek Lamentations",4th-5th century AD,"Use in later Jewish lament tradition",Multiple,Second Temple and later,"Lamentations is relatively stable textually, though the Greek superscription and poetic choices deserve notice.","This edition receives the traditional Jeremianic connection as strong and fitting the historical situation immediately after Jerusalem's fall.","DSS archive material; codex catalogues; conservative introductions.",draft
EZK,Ezekiel,26,OT,Ezekiel,Ezekiel the priest-prophet,"The book repeatedly names Ezekiel and is anchored in his exilic visionary ministry.","The NT echoes Ezekiel extensively and receives his prophecies as authoritative Scripture, though without naming authorship in the same way as Isaiah or Jeremiah.",ca. 593-571 BC in the Babylonian exile,"MT chronology anchors Ezekiel's visions by dated notices in exile.","The LXX preserves the same exilic framework and is an important witness for some difficult passages.","Exilic prophetic ministry among the deportees in Babylon.","To announce judgment on Jerusalem and the nations, then restoration, new heart, new temple, and renewed land.","glory of God; judgment; exile; new heart; shepherd; restoration; temple","Judgment visions 1-24; Oracles against nations 25-32; Restoration and temple vision 33-48.","4Q Ezekiel fragments survive",Second Temple period,"Qumran Ezekiel manuscripts provide early Hebrew witness to parts of the book",Hasmonean-Herodian periods,Leningrad Codex,AD 1008,"Codex Vaticanus and Alexandrinus preserve Greek Ezekiel",4th-5th century AD,"Use in later Jewish apocalyptic and Christian interpretation",Multiple,Second Temple and early Christian periods,"Ezekiel's symbolic language, measurements, and temple vision make versional comparison useful, though not as radically divergent as Jeremiah.","This edition receives Ezekiel as the named priest-prophet of the book and treats the dated vision notices as historically grounded prophetic testimony.","DSS archive material for Ezekiel; codex catalogues; conservative introductions.",draft
DAG,Daniel,27,OT,Daniel,Daniel,"The book names Daniel and conservative scholarship receives both court tales and visions as Danielic, with later copying but not late pseudonymous authorship.","Jesus explicitly refers to Daniel as the prophet in Matthew 24:15.",6th century BC in the Babylonian and Persian periods,"MT chronology places Daniel in the exile from Babylon through Persian rule; the Hebrew-Aramaic form is part of the canonical witness.","The Greek tradition preserves Daniel in Old Greek and Theodotionic forms; this edition's LXX stream especially requires careful note of Greek Daniel material and its relation to the MT/Aramaic form.","Court history and apocalyptic visions in exile, showing God's rule over empires and the coming kingdom.","To reveal God's sovereignty over world kingdoms and His final triumph through the Son of Man's everlasting dominion.","sovereignty; exile; kingdom; resurrection; antichrist pattern; Son of Man; deliverance","Court narratives 1-6; Visions 7-12; Greek Daniel additions in the wider tradition.","4Q Daniel manuscripts",2nd-1st centuries BC,"Qumran Daniel manuscripts provide early Hebrew-Aramaic witness close to the Maccabean era and argue strongly for the book's early acceptance",2nd-1st centuries BC,Leningrad Codex,AD 1008,"Codex Vaticanus and Alexandrinus preserve Greek Daniel traditions, though Theodotion became dominant in much Christian use",4th-5th century AD,"Use in later Jewish apocalyptic and explicit citation by Jesus",Jesus and later Jewish literature,1st century AD and earlier,"Daniel is central for comparing Hebrew-Aramaic text, Old Greek, Theodotion, and the Greek additions such as Susanna and Bel and the Dragon.","This edition receives Daniel as the prophet named by Christ and therefore rejects late pseudonymous theories as incompatible with Christ's testimony.","DSS Daniel resources; Matthew 24:15; major codex catalogues; standard introductions on Greek Daniel.",draft
HOS,Hosea,28,OT,Hosea,Hosea,"The book names Hosea and is received as his prophetic ministry to the northern kingdom.","Romans 9:25-26 and Matthew 2:15 cite Hosea as prophetic Scripture.",8th century BC,"MT chronology places Hosea in the late northern kingdom before Samaria's fall.","The LXX preserves the same horizon, with normal versional differences.","Northern kingdom prophecy using Hosea's marriage and family as sign-acts.","To expose covenant unfaithfulness and proclaim the LORD's steadfast restoring love.","covenant unfaithfulness; steadfast love; judgment; restoration; sonship","Marriage sign and accusations 1-3; Covenant lawsuit and judgment 4-13; Restoration hope 14.","Qumran Hosea fragments survive",Second Temple period,"Early Hebrew witness survives in Qumran fragments",Hasmonean-Herodian periods,Leningrad Codex,AD 1008,"Codex Vaticanus and Alexandrinus preserve Greek Hosea",4th-5th century AD,"Cited in later Jewish and NT writings",Paul and Matthew,1st century AD,"Hosea is frequently quoted in the NT, making MT/LXX comparison especially important at citation points.","This edition receives Hosea as the named prophet and his sign-act marriage as real prophetic history under inspiration.","Qumran minor prophets materials; Romans 9; Matthew 2.",draft
JOL,Joel,29,OT,Joel,Joel,"The book names Joel; conservative scholarship receives the prophecy as Joel's own.","Acts 2 cites Joel 2 explicitly as Joel's prophecy.",date debated; conservative options range from early monarchy to post-exilic,"MT preserves Joel as a compact prophetic book centered on locust judgment and the day of the LORD.","The LXX preserves the same message and is especially important because Acts quotes Joel through the Greek tradition.","Prophecy of judgment and restoration centered on the day of the LORD.","To call God's people to repentance and announce future outpouring, judgment, and restoration.","day of the LORD; repentance; Spirit outpouring; restoration; nations","Locust crisis and call to repent 1-2; Spirit outpouring and final judgment 2-3.","Qumran Joel fragments survive",Second Temple period,"Early Hebrew witness survives in fragmentary form",Second Temple period,Leningrad Codex,AD 1008,"Codex Vaticanus and Alexandrinus preserve Greek Joel",4th-5th century AD,"Explicitly cited in the NT",Peter,1st century AD,"Joel is especially important for LXX/NT quotation study because Acts 2 cites Joel in Greek form.","This edition receives Joel as the real prophet behind the book and the Pentecost citation as confirmation of its prophetic authority.","Acts 2; Qumran minor prophets materials; codex catalogues.",draft
AMO,Amos,30,OT,Amos,Amos,"The book names Amos the herdsman-prophet from Tekoa.","Acts 7:42-43 and James 9:11-12 cite Amos as prophetic Scripture.",8th century BC,"MT chronology places Amos in the prosperous but corrupt northern kingdom before Samaria's fall.","The LXX preserves the same setting and is important for the wording used in Acts 15.","Northern kingdom prophecy from a Judean herdsman in a time of social injustice and false security.","To denounce covenant injustice and announce judgment while preserving hope for David's fallen booth.","justice; judgment; nations; false worship; remnant; Davidic restoration","Judgment on nations and Israel 1-6; visions and confrontation 7-9.","Qumran Amos fragments survive",Second Temple period,"Early Hebrew witness survives in fragmentary form",Second Temple period,Leningrad Codex,AD 1008,"Codex Vaticanus and Alexandrinus preserve Greek Amos",4th-5th century AD,"Explicit NT citation",Stephen and James,1st century AD,"Amos is a key book for LXX/NT comparison because Acts 15 quotes Amos 9 in a form closer to the Greek tradition.","This edition receives Amos as the named prophet and his social-justice oracles as covenantal, not merely political, preaching.","Acts 15; Acts 7; Qumran minor prophets materials.",draft
OBA,Obadiah,31,OT,Obadiah,Obadiah,"The book names Obadiah; the exact historical setting is debated, but conservative scholarship receives the named prophet as genuine.","No direct NT attribution names the writer, but the prophecy stands in the canonical witness against Edom and for Zion.",date debated, often 9th or 6th century BC,"MT preserves the short oracle against Edom and promise of Zion's kingdom.","The LXX preserves the same message with ordinary versional differences.","Oracle against Edom for violence against Jacob and promise of Zion's triumph.","To announce the LORD's judgment on proud Edom and vindication of His covenant people.","judgment on Edom; pride; Zion; kingdom of the LORD","Edom's downfall 1-14; Day of the LORD and Zion's triumph 15-21.","Qumran Obadiah fragments survive",Second Temple period,"Early Hebrew witness is fragmentary",Second Temple period,Leningrad Codex,AD 1008,"Codex Vaticanus and Alexandrinus preserve Greek Obadiah",4th-5th century AD,"Use in later Jewish interpretation",Multiple,Second Temple and later,"Obadiah's brevity makes each textual variant proportionally weighty in interpretation.","This edition receives Obadiah as a genuine prophetic book and reads its Edom oracles within the larger covenant-history conflict line.","Qumran minor prophets materials; codex catalogues.",draft
JON,Jonah,32,OT,Jonah,Jonah son of Amittai,"The book's prophetic identity matches 2 Kings 14:25, and conservative scholarship receives Jonah as historical.","Jesus explicitly treats Jonah and the fish as historical in Matthew 12:39-41.",8th century BC,"MT chronology places Jonah in the era of Jeroboam II and Assyrian significance.","The LXX preserves the same narrative with some wording differences but the same historical claim.","Narrative of a prophet sent to Nineveh who fled, was chastened, and preached repentance.","To show the LORD's sovereign mercy to sinners, including Gentiles, and to expose the narrowness of the prophet's heart.","mercy; repentance; Gentiles; prophet; sovereignty; sign of Jonah","Flight and storm 1; Fish and prayer 2; Nineveh's repentance 3; Jonah's complaint and God's lesson 4.","Qumran Jonah fragments survive",Second Temple period,"Early Hebrew witness is fragmentary",Second Temple period,Leningrad Codex,AD 1008,"Codex Vaticanus and Alexandrinus preserve Greek Jonah",4th-5th century AD,"Explicit appeal by Jesus",Jesus,1st century AD,"Jonah's historicity is reinforced by Christ's own use of Jonah as a sign; textual differences are secondary to that anchor.","This edition receives Jonah as historical prophetic narrative because Christ did.","Matthew 12:39-41; 2 Kings 14:25; Qumran minor prophets materials.",draft
MIC,Micah,33,OT,Micah,Micah,"The book names Micah of Moresheth and is received as his prophecy.","Matthew 2:5-6 cites Micah 5; Jeremiah 26:18 cites Micah 3:12 by name.",8th century BC,"MT chronology places Micah alongside Isaiah in Judah during the Assyrian crisis.","The LXX preserves the same setting and provides an important witness for NT quotation points.","Judah-focused prophecy of judgment and restoration in the 8th century BC.","To confront sin in leaders and people while announcing Bethlehem's ruler and the LORD's final restoration.","judgment; remnant; Bethlehem ruler; justice; mercy; restoration","Judgment cycles 1-3; Hope and ruler from Bethlehem 4-5; Covenant lawsuit and final hope 6-7.","Qumran Micah fragments survive",Second Temple period,"Early Hebrew witness is fragmentary",Second Temple period,Leningrad Codex,AD 1008,"Codex Vaticanus and Alexandrinus preserve Greek Micah",4th-5th century AD,"Named citation in Jeremiah and NT use in Matthew",Jeremiah and Matthew,7th century BC and 1st century AD,"Micah matters for messianic quotation study, especially Micah 5 in Matthew 2.","This edition receives Micah as the named prophet and reads Micah 6:8 and 5:2 in the full canonical-messianic frame.","Jeremiah 26:18; Matthew 2:5-6; Qumran minor prophets materials.",draft
