ref,book_name,chapter,verse,importance,priority_score,decision_count,footnote_count,nt_parallel_count,nt_parallel_weight,nt_parallel_refs,crossref_top_vote,crossref_nt_count,crossref_shared_family_hits,english_witness_checked,english_witness_fresh_support,english_witness_brenton_support,english_witness_mt_support,english_witness_differs_all,english_witness_split_or_mixed,english_witness_signals,english_witness_recommendation,nt_english_checked,nt_english_support_family,nt_english_softens_family,nt_english_mixed,nt_english_signals,nt_english_recommendation,logos_local_checked,logos_local_scopes,logos_local_source_tools,logos_local_signals,logos_local_supports,logos_local_confidence,logos_local_recommendation,consensus_recommendation,keyword_hits,reasons,fresh_translation,brenton_translation,gate_reason
Deuteronomy 12:11,Deuteronomy,12,11,high,29,2,2,3,3,"Acts 15:17, James 2:7, Romans 2:17",5,1,3,0,0,0,0,0,0,,,9,3,3,3,"literal_support, smoothing, translation_tradition",keep,0,,,,,,,keep,"god, lord, name","decisions=2; footnotes=2; reviewed_decisions=2; importance=high; keywords=god, lord, name; nt=Acts 15:17, James 2:7, Romans 2:17; crossref_top_vote=5; crossref_shared_family=3; nt_eng=support:3/soften:3/mixed:3; nt_eng_reco=keep; nt_eng_flags=literal_support, smoothing, translation_tradition; reco=keep","And it shall be, the place that the Lord your God chooses for his name to be called there, there you shall bring everything that I command you today, your whole burnt offerings and your sacrifices and your tithes and the firstfruits of your hands and every choice gift that you vow to your God.","And there shall be a place which the Lord thy God shall choose for his name to be called there, thither shall ye bring all things that I order you to-day; your whole-burnt-offerings, and your sacrifices, and your tithes, and the first-fruits of your hands, and every choice gift of yours, whatsoever ye shall vow to the Lord your God.",score>=12; importance=high; decisions=2; footnotes=2; nt=3; nt_eng=9; nt_eng_reco=keep; reco=keep
Deuteronomy 17:8,Deuteronomy,17,8,high,29,2,2,3,3,"Acts 15:17, James 2:7, Romans 2:17",5,0,1,0,0,0,0,0,0,,,9,3,3,3,"literal_support, smoothing, translation_tradition",keep,0,,,,,,,keep,"god, judgment, lord, name","decisions=2; footnotes=2; reviewed_decisions=2; importance=high; keywords=god, judgment, lord, name; nt=Acts 15:17, James 2:7, Romans 2:17; crossref_top_vote=5; crossref_shared_family=1; nt_eng=support:3/soften:3/mixed:3; nt_eng_reco=keep; nt_eng_flags=literal_support, smoothing, translation_tradition; reco=keep","And if a matter in judgment is too hard for you, between blood and blood, and between judgment and judgment, and between wound and wound, words of judgment in your cities, then, rising, you shall go up to the place that the Lord your God chooses for his name to be called there.","And if a matter shall be too hard for thee in judgment, between blood and blood, and between cause and cause, and between stroke and stroke, and between contradiction and contradiction, matters of judgment in your cities;",score>=12; importance=high; decisions=2; footnotes=2; nt=3; nt_eng=9; nt_eng_reco=keep; reco=keep
Joshua 22:5,Joshua,22,5,high,29,2,2,0,0,,49,4,0,3,2,0,0,0,1,unclear,keep,0,0,0,0,,,0,,,,,,,keep,"god, law, lord, servant, soul","decisions=2; footnotes=2; reviewed_decisions=2; importance=high; keywords=god, law, lord, servant, soul; crossref_top_vote=49; eng=fresh:2/brenton:0/mt:0; eng_reco=keep; eng_flags=unclear; reco=keep","Only take great care to do the commandments and the law that Moses the servant of the Lord commanded us to do: to love the Lord your God, to walk in all his ways, to keep his commandments, and to cling to him and serve him with all your mind and with all your soul.","But take great heed to do the commands and the law, which Moses the servant of the Lord commanded you to do; to love the Lord our God, to walk in all his ways, to keep his commands, and to cleave to him, and serve him with all your mind, and with all your soul.",score>=12; importance=high; decisions=2; footnotes=2; eng=3; eng_reco=keep; reco=keep
2 Chronicles 7:14,2 Chronicles,7,14,high,28,2,2,2,3,"Acts 15:17, James 2:7",297,1,0,0,0,0,0,0,0,,,6,1,3,2,"literal_support, smoothing, translation_tradition",keep,0,,,,,,,keep,"name, repent","decisions=2; footnotes=2; reviewed_decisions=2; importance=high; keywords=name, repent; nt=Acts 15:17, James 2:7; crossref_top_vote=297; nt_eng=support:1/soften:3/mixed:2; nt_eng_reco=keep; nt_eng_flags=literal_support, smoothing, translation_tradition; reco=keep","and my people upon whom my name has been called are put to shame, and they pray and seek my face and turn from their evil ways, then I will hear from heaven and be merciful to their sins and heal their land.","then if my people, on whom my name is called, should repent, and pray, and seek my face, and turn from their evil ways, I also will hear from heaven, and I will be merciful to their sins, and I will heal their land.",score>=12; importance=high; decisions=2; footnotes=2; nt=2; nt_eng=6; nt_eng_reco=keep; reco=keep
2 Chronicles 9:8,2 Chronicles,9,8,high,28,2,2,0,0,,5,1,0,2,2,0,0,0,0,,keep,0,0,0,0,,,0,,,,,,,keep,"god, judgment, justice, king, lord, righteousness","decisions=2; footnotes=2; reviewed_decisions=2; importance=high; keywords=god, judgment, justice, king, lord, righteousness; crossref_top_vote=5; eng=fresh:2/brenton:0/mt:0; eng_reco=keep; reco=keep","Blessed be the Lord your God, who delighted in you to set you on his throne as king for the Lord your God. Because the Lord your God loved Israel to establish him forever, he gave you over them as king to do judgment and righteousness.","Blessed be the Lord thy God, who took pleasure in thee, to set thee upon his throne for a king, to the Lord thy God: forasmuch as the Lord thy God loved Israel to establish them for ever, therefore he has set thee over them for a king to execute judgment and justice.",score>=12; importance=high; decisions=2; footnotes=2; eng=2; eng_reco=keep; reco=keep
Genesis 2:7,Genesis,2,7,high,28,4,3,1,3,1 Corinthians 15:45,41,3,0,2,1,0,0,0,1,unclear,,3,2,0,1,"literal_support, smoothing",keep,1,into-living-soul-formula,AutoComplete.db WordSense; milestones/headwords; local index inspection,lexical_support,living soul rendering,medium,keep,keep,"god, soul","decisions=4; footnotes=3; reviewed_decisions=4; importance=high; keywords=god, soul; nt=1 Corinthians 15:45; crossref_top_vote=41; eng=fresh:1/brenton:0/mt:0; eng_flags=unclear; nt_eng=support:2/soften:0/mixed:1; nt_eng_reco=keep; nt_eng_flags=literal_support, smoothing; logos=1; logos_reco=keep; logos_flags=lexical_support; logos_support=living soul rendering; reco=keep","And God formed the human from the dust of the earth and breathed into his face the breath of life, and the human became a living soul.","And God formed the man of dust of the earth, and breathed upon his face the breath of life, and the man became a living soul.",score>=12; importance=high; decisions=4; footnotes=3; nt=1; nt_eng=3; nt_eng_reco=keep; logos=1; logos_reco=keep; eng=2; reco=keep
Isaiah 12:2,Isaiah,12,2,high,27,1,1,0,0,,54,1,0,2,0,1,0,0,1,"smoothing_issue, unclear",,0,0,0,0,,,0,,,,,,,keep,"glory, god, lord, salvation, savior","decisions=1; footnotes=1; reviewed_decisions=1; importance=high; keywords=glory, god, lord, salvation, savior; crossref_top_vote=54; eng=fresh:0/brenton:1/mt:0; eng_flags=smoothing_issue, unclear; reco=keep","Behold, my God is my savior. I will trust in the Lord and be saved in him, and I will not fear, because the Lord is my glory and my praise, and he became salvation to me.","Behold, my God is my Saviour; I will trust in him, and not be afraid: for the Lord is my glory and my praise, and is become my salvation.",score>=12; importance=high; decisions=1; footnotes=1; eng=2; reco=keep
Leviticus 4:35,Leviticus,4,35,high,26,1,1,0,0,,5,4,1,0,0,0,0,0,0,,,0,0,0,0,,,1,soteria-sacrifice-formula,AutoComplete.db WordSense; Bible Word Study; Factbook; recent history,lexical_support,salvation-shaped rendering,high,keep,keep,"altar, lord, peace, priest, sacrifice, salvation, sin","decisions=1; footnotes=1; reviewed_decisions=1; importance=high; keywords=altar, lord, peace, priest, sacrifice, salvation; crossref_top_vote=5; crossref_shared_family=1; logos=1; logos_reco=keep; logos_flags=lexical_support; logos_support=salvation-shaped rendering; reco=keep","And he shall remove all its fat, just as the fat of a sheep is removed from the sacrifice of salvation, and the priest shall place it on the altar, on the Lord's whole burnt offering. And the priest shall make atonement for him for the sin that he sinned, and it shall be forgiven him.","And he shall take away all his fat, as the fat of the lamb of the sacrifice of peace-offering is taken away, and the priest shall put it on the altar for a whole-burnt-offering to the Lord; and the priest shall make atonement for him for the sin which he sinned, and it shall be forgiven him.",score>=12; importance=high; decisions=1; footnotes=1; logos=1; logos_reco=keep; reco=keep
Isaiah 54:10,Isaiah,54,10,high,25,1,1,0,0,,56,3,0,2,0,0,0,0,2,unclear,keep,0,0,0,0,,,0,,,,,,,keep,"being, covenant, lord, mercy, peace","decisions=1; footnotes=1; reviewed_decisions=1; importance=high; keywords=being, covenant, lord, mercy, peace; crossref_top_vote=56; eng=fresh:0/brenton:0/mt:0; eng_reco=keep; eng_flags=unclear; reco=keep","Mountains may be moved and your hills shaken, but my mercy for you will not fail, and the covenant of your peace will not be moved, says the Lord, being gracious to you.","shall the mountains depart, nor shall thy hills be removed: so neither shall my mercy fail thee, nor shall the covenant of thy peace be at all removed: for the Lord who is gracious to thee has spoken it.",score>=12; importance=high; decisions=1; footnotes=1; eng=2; eng_reco=keep; reco=keep
Leviticus 5:15,Leviticus,5,15,high,25,3,3,0,0,,5,0,0,2,1,0,0,1,0,unclear,,0,0,0,0,,,0,,,,,,,keep,"holy, lord, sin, soul","decisions=3; footnotes=3; reviewed_decisions=2; importance=high; keywords=holy, lord, sin, soul; crossref_top_vote=5; eng=fresh:1/brenton:0/mt:0; eng_flags=unclear; reco=keep","If a person is overtaken by forgetfulness and sins unintentionally in the holy things of the Lord, then he shall bring for his trespass to the Lord a ram without blemish from the sheep, valued in silver shekels by the sanctuary shekel, for the thing in which he trespassed.","The soul which shall be really unconscious, and shall sin unwillingly in any of the holy things of the Lord, shall even bring to the Lord for his transgression, a ram of the flock without blemish, valued according to shekels of silver according to the shekel of the sanctuary, for his transgression wherein he transgressed.",score>=12; importance=high; decisions=3; footnotes=3; eng=2; reco=keep
Micah 5:3,Micah,5,3,high,25,1,1,0,0,,11,4,0,2,0,0,1,1,0,"mt_leaning, unclear",keep,0,0,0,0,,,0,,,,,,,keep,"glory, god, lord, name, shepherd","decisions=1; footnotes=1; reviewed_decisions=1; importance=high; keywords=glory, god, lord, name, shepherd; crossref_top_vote=11; eng=fresh:0/brenton:0/mt:1; eng_reco=keep; eng_flags=mt_leaning, unclear; reco=keep","And he will stand and see and shepherd his flock in the strength of the Lord and in the glory of the name of the Lord their God. They will remain, because now he will be made great to the ends of the earth.","And the Lord shall stand, and see, and feed his flock with power, and they shall dwell in the glory of the name of the Lord their God: for now shall they be magnified to the ends of the earth.",score>=12; importance=high; decisions=1; footnotes=1; eng=2; eng_reco=keep; reco=keep
2 Chronicles 35:3,2 Chronicles,35,3,high,24,5,5,0,0,,5,1,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,keep,"god, holy, king, lord","decisions=5; footnotes=5; reviewed_decisions=5; importance=high; keywords=god, holy, king, lord; crossref_top_vote=5; reco=keep","And he said to the Levites, mighty in all Israel, when they had sanctified themselves to the Lord and placed the holy ark in the house which Solomon son of David king of Israel built, and the king said, It is not for you to carry anything on your shoulders. Now then minister to the Lord your God and to his people Israel.","And he told the Levites that were able to act in all Israel, that they should consecrate themselves to the Lord: and they put the holy ark in the house which Solomon the son of David king of Israel built: and the king said, Ye must not carry anything on your shoulders: now then minister to the Lord your God, and to his people Israel.",score>=12; importance=high; decisions=5; footnotes=5; reco=keep
2 Chronicles 6:14,2 Chronicles,6,14,high,24,2,2,0,0,,9,2,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,keep,"covenant, god, lord, mercy","decisions=2; footnotes=2; reviewed_decisions=2; importance=high; keywords=covenant, god, lord, mercy; crossref_top_vote=9; reco=keep","And he said, Lord God of Israel, there is no God like you in heaven and on earth, keeping covenant and mercy for your servants walking before you with all their heart,","and said,",score>=12; importance=high; decisions=2; footnotes=2; reco=keep
Deuteronomy 14:23,Deuteronomy,14,23,high,24,1,1,3,3,"Acts 15:17, James 2:7, Romans 2:17",4,0,1,0,0,0,0,0,0,,,9,3,3,3,"literal_support, smoothing, translation_tradition",keep,0,,,,,,,keep,"firstborn, god, lord, name","decisions=1; footnotes=1; reviewed_decisions=1; importance=high; keywords=firstborn, god, lord, name; nt=Acts 15:17, James 2:7, Romans 2:17; crossref_top_vote=4; crossref_shared_family=1; nt_eng=support:3/soften:3/mixed:3; nt_eng_reco=keep; nt_eng_flags=literal_support, smoothing, translation_tradition; reco=keep","And you shall eat it before the Lord your God in the place where the Lord your God chooses for his name to be called there. You shall bring the tithes of your grain and your wine and your oil and the firstborn of your cattle and your sheep, so that you may learn to fear the Lord your God all the days.","And thou shalt eat it in the place which the Lord thy God shall choose to have his name called there; ye shall bring the tithe of thy corn and of thy wine, and of thine oil, the first-born of thy herd and of thy flock, that thou mayest learn to fear the Lord thy God always.",score>=12; importance=high; decisions=1; footnotes=1; nt=3; nt_eng=9; nt_eng_reco=keep; reco=keep
Isaiah 59:21,Isaiah,59,21,high,24,1,2,0,0,,320,3,0,0,0,0,0,0,0,,keep,0,0,0,0,,,0,,,,,,,keep,"covenant, lord, seed, spirit","decisions=1; footnotes=2; reviewed_decisions=1; importance=high; keywords=covenant, lord, seed, spirit; crossref_top_vote=320; eng_reco=keep; reco=keep","And this covenant from me with them, said the Lord: My Spirit which is on you and the words I put in your mouth will not fail from your mouth nor from the mouth of your seed, said the Lord, from now and forever.","And this shall be my covenant with them, said the Lord; My Spirit which is upon thee, and the words which I have put in thy mouth, shall never fail from thy mouth, nor from the mouth of thy seed, for the Lord has spoken it, henceforth and for ever.",score>=12; importance=high; decisions=1; footnotes=2; eng_reco=keep; reco=keep
Isaiah 9:6,Isaiah,9,6,high,24,1,2,0,0,,177,6,0,0,0,0,0,0,0,,keep,0,0,0,0,,,0,,,,,,,keep,"judgment, lord, peace, righteousness","decisions=1; footnotes=2; reviewed_decisions=1; importance=high; keywords=judgment, lord, peace, righteousness; crossref_top_vote=177; eng_reco=keep; reco=keep","Great is his rule, and his peace has no boundary, upon the throne of David and his kingdom, to make it prosper and uphold it in righteousness and judgment from now and forever. The zeal of the Lord of hosts will do these things.","His government shall be great, and of his peace there is no end: it shall be upon the throne of David, and upon his kingdom, to establish it, and to support it with judgment and with righteousness, from henceforth and for ever. The zeal of the Lord of hosts shall perform this.",score>=12; importance=high; decisions=1; footnotes=2; eng_reco=keep; reco=keep
Jeremiah 9:23,Jeremiah,9,23,high,24,1,1,0,0,,57,4,0,2,0,0,2,0,0,mt_leaning,keep,0,0,0,0,,,0,,,,,,,keep,"judgment, lord, mercy, righteousness","decisions=1; footnotes=1; reviewed_decisions=1; importance=high; keywords=judgment, lord, mercy, righteousness; crossref_top_vote=57; eng=fresh:0/brenton:0/mt:2; eng_reco=keep; eng_flags=mt_leaning; reco=keep","but in this let the one boasting boast: to understand and know that I am the Lord, doing mercy and judgment and righteousness on the earth, because in these is my will, says the Lord.","but let him that boasts boast in this, the understanding and knowing that I am the Lord that exercise mercy, and judgment, and righteousness, upon the earth; for in these things is my pleasure, saith the Lord.",score>=12; importance=high; decisions=1; footnotes=1; eng=2; eng_reco=keep; reco=keep
Micah 6:8,Micah,6,8,high,24,1,1,0,0,,186,2,0,2,2,0,0,0,0,,keep,0,0,0,0,,,0,,,,,,,keep,"god, judgment, justice, lord, mercy","decisions=1; footnotes=1; reviewed_decisions=1; importance=high; keywords=god, judgment, justice, lord, mercy; crossref_top_vote=186; eng=fresh:2/brenton:0/mt:0; eng_reco=keep; reco=keep","He told you, human, what is good, or what the Lord seeks from you: but to do judgment and love mercy and be ready to walk with the Lord your God.","Has it not been told thee, O man, what is good? or what does the Lord require of thee, but to do justice, and love mercy, and be ready to walk with the Lord thy God?",score>=12; importance=high; decisions=1; footnotes=1; eng=2; eng_reco=keep; reco=keep
