ref,book_code,book_name,chapter,verse,review_status,importance,priority_score,themes,keyword_hits,same_normalized,tr_literal_translation,ukjv_translation,review_notes,reasons,decision
1 Corinthians 4:17,1CO,1 Corinthians,4,17,tr_literal_pass1,high,27,christology; spirit_church; textual_literal,christology:christ; christology:lord; spirit_church:assembly; spirit_church:church; textual_literal:son,no,"For this cause have I sent to you Timotheus, who is my beloved son, and faithful in the Lord, who shall bring you into remembrance of my ways which be in Christ, as I teach every where in every assembly.","For this cause have I sent unto you Timotheus, who is my beloved son, and faithful in the Lord, who shall bring you into remembrance of my ways which be in Christ, as I teach every where in every church.",modernized archaic directional unto; normalized NT kurios as Lord; rendered ekklesia as assembly,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered ekklesia as assembly; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
2 Thessalonians 1:1,2TH,2 Thessalonians,1,1,tr_literal_pass1,high,27,christology; spirit_church,christology:christ; christology:jesus; christology:lord; spirit_church:assembly; spirit_church:church,no,"Paul, and Silvanus, and Timotheus, to the assembly of the Thessalonians in God our Father and the Lord Jesus Christ:","Paul, and Silvanus, and Timotheus, unto the church of the Thessalonians in God our Father and the Lord Jesus Christ:",modernized archaic directional unto; normalized NT kurios as Lord; rendered ekklesia as assembly,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered ekklesia as assembly; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
John 8:34,JHN,John,8,34,tr_literal_pass1,high,27,anthropology_ethics; christology; textual_literal,anthropology_ethics:servant; anthropology_ethics:sin; anthropology_ethics:slave; christology:jesus; textual_literal:amen,no,"Jesus answered them, Amen, amen, I say to you, Whoever commits sin is the slave of sin.","Jesus answered them, Verily, verily, I say unto you, Whosoever commits sin is the servant of sin.",modernized archaic directional unto; modernized verily; modernized whosoever; rendered amen formula directly; rendered doulos-family wording as slave,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered doulos-family wording as slave; rendered amen formula directly; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Philippians 4:15,PHP,Philippians,4,15,tr_literal_pass1,high,27,spirit_church; textual_literal,spirit_church:assembly; spirit_church:church; textual_literal:good news; textual_literal:gospel,no,"Now you Philippians know also, that in the beginning of the good news, when I departed from Macedonia, no assembly communicated with me as concerning giving and receiving, but you only.","Now all of you Philippians know also, that in the beginning of the gospel, when I departed from Macedonia, no church communicated with me as concerning (o. logos) giving and receiving, but all of you only.",removed UKJV inline Strong-style lexical marker; removed UKJV plural-expansion artifact; rendered ekklesia as assembly; rendered euangelion as good news,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered ekklesia as assembly; rendered euangelion as good news; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
2 Thessalonians 2:14,2TH,2 Thessalonians,2,14,tr_literal_pass1,high,26,christology; textual_literal,christology:christ; christology:jesus; christology:lord; textual_literal:good news; textual_literal:gospel,no,"To which he called you by our good news, to the obtaining of the glory of our Lord Jesus Christ.","Unto which he called you by our gospel, to the obtaining of the glory of our Lord Jesus Christ.",modernized archaic directional unto; normalized NT kurios as Lord; rendered euangelion as good news,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered euangelion as good news; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Acts 2:31,ACT,Acts,2,31,tr_literal_pass1,high,26,anthropology_ethics; christology; judgment_afterlife; soteriology,anthropology_ethics:flesh; anthropology_ethics:soul; christology:christ; judgment_afterlife:hades; judgment_afterlife:hell; soteriology:resurrection,no,"He seeing this before spoke of the resurrection of Christ, that his soul was not left in Hades, neither his flesh did see corruption.","He seeing this before spoke of the resurrection of Christ, that his soul was not left in hell, neither his flesh did see corruption.",rendered hades as Hades,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered hades as Hades; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Acts 20:24,ACT,Acts,20,24,tr_literal_pass1,high,26,christology; soteriology; textual_literal,christology:jesus; christology:lord; soteriology:grace; textual_literal:good news; textual_literal:gospel,no,"But none of these things move me, neither count I my life dear to myself, so that I might finish my course with joy, and the ministry, which I have received of the Lord Jesus, to testify the good news of the grace of God.","But none of these things (o. logos) move me, neither count I my life dear unto myself, so that I might finish my course with joy, and the ministry, which I have received of the Lord Jesus, to testify the gospel of the grace of God.",modernized archaic directional unto; normalized NT kurios as Lord; removed UKJV inline Strong-style lexical marker; rendered euangelion as good news,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered euangelion as good news; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
James 1:1,JAS,James,1,1,tr_literal_pass1,high,26,anthropology_ethics; christology,anthropology_ethics:servant; anthropology_ethics:slave; christology:christ; christology:jesus; christology:lord,no,"James, a slave of God and of the Lord Jesus Christ, to the twelve tribes which are scattered abroad, greeting.","James, a servant of God and of the Lord Jesus Christ, to the twelve tribes which are scattered abroad, greeting.",normalized NT kurios as Lord; rendered doulos-family wording as slave,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered doulos-family wording as slave; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Matthew 1:18,MAT,Matthew,1,18,tr_literal_manual,high,26,christology; spirit_church,christology:christ; christology:jesus; spirit_church:holy spirit; spirit_church:spirit,no,"Now the birth of Jesus Christ was this way: after his mother Mary was betrothed to Joseph, before they came together, she was found having in womb from Holy Spirit.","Now the birth of Jesus Christ was likewise: When as his mother Mary was espoused to Joseph, before they came together, she was found with child of the Holy Spirit. (o. pneuma)",manual TR literal override,TR draft differs from UKJV witness; status:tr_literal_manual; manual TR literal override; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Acts 2:47,ACT,Acts,2,47,tr_literal_pass1,high,25,christology; soteriology; spirit_church,christology:lord; soteriology:saved; spirit_church:assembly; spirit_church:church,no,"Praising God, and having favour with all the people. And the Lord added to the assembly daily such as should be saved.","Praising God, and having favour with all the people. And the Lord added to the church daily such as should be saved.",normalized NT kurios as Lord; rendered ekklesia as assembly,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered ekklesia as assembly; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Ephesians 5:29,EPH,Ephesians,5,29,tr_literal_pass1,high,25,anthropology_ethics; christology; spirit_church,anthropology_ethics:flesh; christology:lord; spirit_church:assembly; spirit_church:church,no,"For no one ever yet hated his own flesh; but nourishes and cherishes it, even as the Lord the assembly:","For no man ever yet hated his own flesh; but nourishes and cherishes it, even as the Lord the church:",modernized no-man idiom; normalized NT kurios as Lord; rendered ekklesia as assembly,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered ekklesia as assembly; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Luke 12:37,LUK,Luke,12,37,tr_literal_pass1,high,25,christology; textual_literal,christology:lord; textual_literal:amen,no,"Blessed are those slaves, whom the Lord when he comes shall find watching: Amen, I say to you, that he shall gird himself, and make them to sit down to food, and will come forth and serve them.","Blessed are those servants, whom the lord when he comes shall find watching: verily I say unto you, that he shall gird himself, and make them to sit down to food, and will come forth and serve them.",modernized archaic directional unto; modernized verily; normalized NT kurios as Lord; rendered amen formula directly; rendered doulos-family wording as slave,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered doulos-family wording as slave; rendered amen formula directly; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Revelation 2:18,REV,Revelation,2,18,tr_literal_pass1,high,25,christology; judgment_afterlife; spirit_church; textual_literal,christology:son of god; judgment_afterlife:fire; spirit_church:assembly; spirit_church:church; textual_literal:angel; textual_literal:son,no,"And to the angel of the assembly in Thyatira write; These things says the Son of God, who has his eyes like to a flame of fire, and his feet are like fine brass;","And unto the angel of the church in Thyatira write; These things says the Son of God, who has his eyes like unto a flame of fire, and his feet are like fine brass;",modernized archaic directional unto; rendered ekklesia as assembly,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered ekklesia as assembly; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
1 Peter 1:25,1PE,1 Peter,1,25,tr_literal_pass1,high,24,christology; textual_literal,christology:lord; christology:word; textual_literal:good news; textual_literal:gospel,no,But the word of the Lord endures for ever. And this is the word which by the good news is preached to you.,But the word (o. rhema) of the Lord endures for ever. And this is the word (o. rhema) which by the gospel is preached unto you.,modernized archaic directional unto; normalized NT kurios as Lord; removed UKJV inline Strong-style lexical marker; rendered euangelion as good news,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered euangelion as good news; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
2 Peter 1:1,2PE,2 Peter,1,1,tr_literal_pass1,high,24,anthropology_ethics; christology; soteriology; spirit_church,anthropology_ethics:servant; anthropology_ethics:slave; christology:christ; christology:jesus; soteriology:faith; soteriology:righteousness; spirit_church:apostle,no,"Simon Peter, a slave and an apostle of Jesus Christ, to those who have obtained like precious faith with us through the righteousness of God and our Saviour Jesus Christ:","Simon Peter, a servant and an apostle of Jesus Christ, to them that have obtained like precious faith with us through the righteousness of God and our Saviour Jesus Christ:",modernized them-that relative; rendered doulos-family wording as slave,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered doulos-family wording as slave; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
2 Timothy 2:8,2TI,2 Timothy,2,8,tr_literal_pass1,high,24,christology; soteriology; textual_literal,christology:christ; christology:jesus; soteriology:raised; textual_literal:good news; textual_literal:gospel; textual_literal:seed,no,Remember that Jesus Christ of the seed of David was raised from the dead according to my good news:,Remember that Jesus Christ of the seed of David was raised from the dead according to my gospel:,rendered euangelion as good news,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered euangelion as good news; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Acts 8:25,ACT,Acts,8,25,tr_literal_pass1,high,24,christology; textual_literal,christology:lord; christology:word; textual_literal:good news; textual_literal:gospel,no,"And they, when they had testified and preached the word of the Lord, returned to Jerusalem, and preached the good news in many villages of the Samaritans.","And they, when they had testified and preached the word (o. logos) of the Lord, returned to Jerusalem, and preached the gospel in many villages of the Samaritans.",normalized NT kurios as Lord; removed UKJV inline Strong-style lexical marker; rendered euangelion as good news,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered euangelion as good news; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Ephesians 1:13,EPH,Ephesians,1,13,tr_literal_pass1,high,24,christology; law_covenant; soteriology; spirit_church; textual_literal,christology:word; law_covenant:promise; soteriology:salvation; spirit_church:holy spirit; spirit_church:spirit; textual_literal:good news; textual_literal:gospel,no,"In whom you also trusted, after that you heard the word of truth, the good news of your salvation: in whom also after that you believed, you were sealed with that holy Spirit of promise,","In whom all of you also trusted, after that all of you heard the word (o. logos) of truth, the gospel of your salvation: in whom also after that all of you believed, all of you were sealed with that holy Spirit (o. pneuma) of promise,",removed UKJV inline Strong-style lexical marker; removed UKJV plural-expansion artifact; rendered euangelion as good news,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered euangelion as good news; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
John 15:20,JHN,John,15,20,tr_literal_pass1,high,24,anthropology_ethics; christology,anthropology_ethics:servant; anthropology_ethics:slave; christology:lord; christology:word,no,"Remember the word that I said to you, The slave is not greater than his Lord. If they have persecuted me, they will also persecute you; if they have kept my saying, they will keep yours also.","Remember the word (o. logos) that I said unto you, The servant is not greater than his lord. If they have persecuted me, they will also persecute you; if they have kept my saying, (o. logos) they will keep yours also.",modernized archaic directional unto; normalized NT kurios as Lord; removed UKJV inline Strong-style lexical marker; rendered doulos-family wording as slave,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered doulos-family wording as slave; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Luke 4:18,LUK,Luke,4,18,tr_literal_pass1,high,24,christology; spirit_church; textual_literal,christology:lord; spirit_church:spirit; textual_literal:good news; textual_literal:gospel,no,"The Spirit of the Lord is upon me, because he has anointed me to preach the good news to the poor; he has sent me to heal the brokenhearted, to preach deliverance to the captives, and recovering of sight to the blind, to set at liberty those who are bruised,","The Spirit (o. pneuma) of the Lord is upon me, because he has anointed me to preach the gospel to the poor; he has sent me to heal the brokenhearted, to preach deliverance to the captives, and recovering of sight to the blind, to set at liberty them that are bruised,",modernized them-that relative; normalized NT kurios as Lord; removed UKJV inline Strong-style lexical marker; rendered euangelion as good news,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered euangelion as good news; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Luke 12:45,LUK,Luke,12,45,tr_literal_pass1,high,24,anthropology_ethics; christology,anthropology_ethics:heart; anthropology_ethics:servant; anthropology_ethics:slave; christology:lord,no,"But and if that slave say in his heart, My Lord delays his coming; and shall begin to beat the male slaves and maidens, and to eat and drink, and to be drunken;","But and if that servant say in his heart, My lord delays his coming; and shall begin to beat the male servants and maidens, and to eat and drink, and to be drunken;",normalized NT kurios as Lord; rendered doulos-family wording as slave,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered doulos-family wording as slave; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Luke 13:35,LUK,Luke,13,35,tr_literal_pass1,high,24,christology; textual_literal,christology:lord; textual_literal:truly,no,"Look, your house is left to you desolate: but truly I say to you, You shall not see me, until the time come when you shall say, Blessed is the one who comes in the name of the Lord.","Behold, your house is left unto you desolate: and verily I say unto you, All of you shall not see me, until the time come when all of you shall say, Blessed is he that comes in the name of the Lord.",kept de-linked amen formula as but truly; modernized archaic directional unto; modernized behold; modernized he-that relative; modernized verily; normalized NT kurios as Lord; removed UKJV plural-expansion artifact; rendered amen formula directly,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered amen formula directly; kept de-linked amen formula as but truly; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Matthew 1:1,MAT,Matthew,1,1,tr_literal_manual,high,24,christology; textual_literal,christology:christ; christology:jesus; textual_literal:son,no,"Book of the origin of Jesus Christ, son of David, son of Abraham.","The book of the generation of Jesus Christ, the son of David, the son of Abraham.",manual TR literal override,TR draft differs from UKJV witness; status:tr_literal_manual; manual TR literal override; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Matthew 10:23,MAT,Matthew,10,23,tr_literal_pass1,high,24,christology; law_covenant; textual_literal,christology:son of man; law_covenant:israel; textual_literal:son; textual_literal:truly,no,"But when they persecute you in this city, flee you into another: for truly I say to you, You shall not have gone over the cities of Israel, till the Son of man be come.","But when they persecute you in this city, flee all of you into another: for verily I say unto you, All of you shall not have gone over the cities of Israel, till the Son of man be come.",kept gar-linked amen formula as for truly; modernized archaic directional unto; modernized verily; removed UKJV plural-expansion artifact; rendered amen formula directly,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered amen formula directly; kept gar-linked amen formula as for truly; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Matthew 15:22,MAT,Matthew,15,22,tr_literal_pass1,high,24,anthropology_ethics; christology; textual_literal,anthropology_ethics:mercy; christology:lord; textual_literal:demon; textual_literal:devil; textual_literal:son,no,"And, look, a woman of Canaan came out of the same borders, and cried to him, saying, Have mercy on me, O Lord, you son of David; my daughter is grievously vexed with a demon.","And, behold, a woman of Canaan came out of the same coasts, and cried unto him, saying, Have mercy on me, O Lord, you son of David; my daughter is grievously vexed with a devil.",modernized archaic directional unto; modernized behold; modernized coasts as borders; normalized NT kurios as Lord; rendered daimonion as demon,TR draft differs from UKJV witness; status:tr_literal_pass1; normalized NT kurios as Lord; rendered daimonion as demon; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Matthew 17:20,MAT,Matthew,17,20,tr_literal_pass1,high,24,christology; soteriology; textual_literal,christology:jesus; soteriology:faith; textual_literal:seed; textual_literal:truly,no,"And Jesus said to them, Because of your unbelief: for truly I say to you, If you have faith as a grain of mustard seed, you shall say to this mountain, Remove behind to yonder place; and it shall remove; and nothing shall be impossible to you.","And Jesus said unto them, Because of your unbelief: for verily I say unto you, If all of you have faith as a grain of mustard seed, all of you shall say unto this mountain, Remove behind to yonder place; and it shall remove; and nothing shall be impossible unto you.",kept gar-linked amen formula as for truly; modernized archaic directional unto; modernized verily; removed UKJV plural-expansion artifact; rendered amen formula directly,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered amen formula directly; kept gar-linked amen formula as for truly; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Matthew 24:48,MAT,Matthew,24,48,tr_literal_pass1,high,24,anthropology_ethics; christology,anthropology_ethics:heart; anthropology_ethics:servant; anthropology_ethics:slave; christology:lord,no,"But and if that evil slave shall say in his heart, My Lord delays his coming;","But and if that evil servant shall say in his heart, My lord delays his coming;",normalized NT kurios as Lord; rendered doulos-family wording as slave,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered doulos-family wording as slave; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Philemon 1:16,PHM,Philemon,1,16,tr_literal_pass1,high,24,anthropology_ethics; christology,anthropology_ethics:flesh; anthropology_ethics:servant; anthropology_ethics:slave; christology:lord,no,"Not now as a slave, but above a slave, a brother beloved, specially to me, but how much more to you, both in the flesh, and in the Lord?","Not now as a servant, but above a servant, a brother beloved, specially to me, but how much more unto you, both in the flesh, and in the Lord?",modernized archaic directional unto; normalized NT kurios as Lord; rendered doulos-family wording as slave,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered doulos-family wording as slave; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Revelation 15:3,REV,Revelation,15,3,tr_literal_pass1,high,24,anthropology_ethics; christology,anthropology_ethics:servant; anthropology_ethics:slave; christology:king; christology:lord,no,"And they sing the song of Moses the slave of God, and the song of the Lamb, saying, Great and marvellous are your works, Lord God Almighty; just and true are your ways, you King of holy ones.","And they sing the song of Moses the servant of God, and the song of the Lamb, saying, Great and marvellous are your works, Lord God Almighty; just and true are your ways, you King of saints.",normalized NT kurios as Lord; rendered doulos-family wording as slave; rendered hagioi as holy ones,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered doulos-family wording as slave; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Romans 15:16,ROM,Romans,15,16,tr_literal_pass1,high,24,christology; spirit_church; textual_literal,christology:christ; christology:jesus; spirit_church:holy spirit; spirit_church:spirit; textual_literal:good news; textual_literal:gospel,no,"That I should be the minister of Jesus Christ to the Gentiles, ministering the good news of God, that the offering up of the Gentiles might be acceptable, being sanctified by the Holy Spirit.","That I should be the minister of Jesus Christ to the Gentiles, ministering the gospel of God, that the offering up of the Gentiles might be acceptable, being sanctified by the Holy Spirit. (o. pneuma)",removed UKJV inline Strong-style lexical marker; rendered euangelion as good news,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered euangelion as good news; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
Titus 1:1,TIT,Titus,1,1,tr_literal_pass1,high,24,anthropology_ethics; christology; soteriology; spirit_church,anthropology_ethics:servant; anthropology_ethics:slave; christology:christ; christology:jesus; soteriology:faith; spirit_church:apostle,no,"Paul, a slave of God, and an apostle of Jesus Christ, according to the faith of God's elect, and the acknowledging of the truth which is after godliness;","Paul, a servant of God, and an apostle of Jesus Christ, according to the faith of God's elect, and the acknowledging of the truth which is after godliness;",rendered doulos-family wording as slave,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered doulos-family wording as slave; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
1 Corinthians 16:19,1CO,1 Corinthians,16,19,tr_literal_pass1,high,23,christology; spirit_church,christology:lord; spirit_church:assembly; spirit_church:church,no,"The assemblies of Asia salute you. Aquila and Priscilla salute you much in the Lord, with the assembly that is in their house.","The churches of Asia salute you. Aquila and Priscilla salute you much in the Lord, with the church that is in their house.",normalized NT kurios as Lord; rendered ekklesia as assembly,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered ekklesia as assembly; normalized NT kurios as Lord; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
2 Corinthians 1:1,2CO,2 Corinthians,1,1,tr_literal_pass1,high,23,christology; spirit_church,christology:christ; christology:jesus; spirit_church:apostle; spirit_church:assembly; spirit_church:church,no,"Paul, an apostle of Jesus Christ by the will of God, and Timothy our brother, to the assembly of God which is at Corinth, with all the holy ones which are in all Achaia:","Paul, an apostle of Jesus Christ by the will of God, and Timothy our brother, unto the church of God which is at Corinth, with all the saints which are in all Achaia:",modernized archaic directional unto; rendered ekklesia as assembly; rendered hagioi as holy ones,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered ekklesia as assembly; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
2 Corinthians 8:18,2CO,2 Corinthians,8,18,tr_literal_pass1,high,23,textual_literal,textual_literal:good news; textual_literal:gospel,no,"And we have sent with him the brother, whose praise is in the good news throughout all the assemblies;","And we have sent with him the brother, whose praise is in the gospel throughout all the churches;",rendered ekklesia as assembly; rendered euangelion as good news,TR draft differs from UKJV witness; status:tr_literal_pass1; rendered ekklesia as assembly; rendered euangelion as good news; theology/literal keyword hit,"check TR literal choice against Greek, then keep or adjust"
