ref,book_name,chapter,verse,priority_score,importance,category,fresh_translation,mt_translation,brenton_translation,fresh_mt_ratio,fresh_brenton_ratio
Numbers 16:14,Numbers,16,14,0,none,different_from_both,"Even if you had brought us into a land flowing with milk and honey and given us an inheritance of field and vineyards, would you gouge out the eyes of those men? We will not come up.","Moreover you have not brought us into a land that flows with milk and honey, or given us inheritance of fields and vineyards: will you put out the eyes of these men? we will not come up.","Thou art a prince, and hast thou brought us into a land flowing with milk and honey, and hast thou given us an inheritance of land and vineyards? wouldest thou have put out the eyes of those men? we will not go up.",0.870,0.067
2 Kings 6:22,2 Kings,6,22,0,none,different_from_both,"And he said, You shall not strike them down. Would you strike down those whom you have taken captive with your sword and with your bow? Set bread and water before them, and let them eat and drink and go to their lord.","And he answered, You shall not strike them: would you strike those whom you have taken captive with your sword and with your bow? set bread and water before them, that they may eat and drink, and go to their master.","And he said, Thou shalt not smite them, unless thou wouldest smite those whom thou hast taken captive with thy sword and with thy bow: set bread and water before them, and let them eat and drink, and depart to their master.",0.869,0.070
2 Kings 18:21,2 Kings,18,21,0,none,different_from_both,"Now behold, you have trusted for yourself on this broken reed staff, on Egypt, on which if a man leans it will go into his hand and pierce it. So is Pharaoh king of Egypt to all who trust in him.","Now, behold, you trust upon the staff of this bruised reed, even upon Egypt, on which if a man lean, it will go into his hand, and pierce it: so is Pharaoh king of Egypt unto all that trust on him.","See now, art thou trusting for thyself on this broken staff of reed, even upon Egypt? whosoever shall stay himself upon it, it shall even go into his hand, and pierce it: so is Pharao king of Egypt to all that trust on him.",0.850,0.064
Ezekiel 25:14,Ezekiel,25,14,0,none,different_from_both,"And I will place my vengeance upon Edom by the hand of my people Israel, and they will act in Edom according to my anger and according to my wrath, and they will know my vengeance, says the Lord.","And I will lay my vengeance upon Edom by the hand of my people Israel: and they shall do in Edom according to mine anger and according to my fury; and they shall know my vengeance, says the Lord GOD.","And I will execute my vengeance on Idumea by the hand of my people Israel: and they shall deal in Idumea according to mine anger and according to my wrath, and they shall know my vengeance, saith the Lord.",0.912,0.133
Leviticus 8:23,Leviticus,8,23,0,none,different_from_both,"And he slaughtered it, and Moses took some of its blood and put it on the lobe of Aaron's right ear and on the tip of his right hand and on the tip of his right foot.","And he slew it; and Moses took of the blood of it, and put it upon the tip of Aaron's right ear, and upon the thumb of his right hand, and upon the great toe of his right foot.","And Moses brought near the sons of Aaron; and Moses put of the blood on the tips of their right ears, and on the thumbs of their right hands, and on the great toes of their right feet, and Moses poured out the blood on the altar round about.",0.829,0.065
Deuteronomy 24:3,Deuteronomy,24,3,0,none,different_from_both,"and the later man hates her and writes for her a document of divorce and gives it into her hands and sends her out from his house, or the later man dies who took her to himself as a wife,","And if the latter husband hate her, and write her a bill of divorcement, and gives it in her hand, and sends her out of his house; or if the latter husband die, which took her to be his wife;","and the last husband should hate her, and write for her a bill of divorcement; and should give it into her hands, and send her away out of his house, and the last husband should die, who took her to himself for a wife;",0.822,0.060
1 Kings 8:35,1 Kings,8,35,0,none,different_from_both,"When heaven is shut and rain does not come because they sinned against you, and they pray toward this place and confess to your name and turn back from their sins when you humble them,","When heaven is shut up, and there is no rain, because they have sinned against you; if they pray toward this place, and confess your name, and turn from their sin, when you afflict them:","When the heaven is restrained, and there is no rain, because they shall sin against thee, and they shall pray toward this place, and shall make confession to thy name, and shall turn from their sins when thou shalt have humbled them,",0.837,0.083
2 Samuel 14:33,2 Samuel,14,33,0,none,different_from_both,"And Joab entered to the king and reported to him, and he called Absalom, and he entered to the king and bowed down to him and fell on his face to the ground before the king, and the king kissed Absalom.","So Joab came to the king, and told him: and when he had called for Absalom, he came to the king, and bowed himself on his face to the ground before the king: and the king kissed Absalom.","And Joab went in to the king, and brought him word: and he called Abessalom, and he went in to the king, and did him obeisance, and fell upon his face to the ground, even in the presence of the king; and the king kissed Abessalom.",0.820,0.067
Deuteronomy 15:6,Deuteronomy,15,6,0,none,different_from_both,"Because the Lord your God blessed you in the way he spoke to you, and you shall lend to many nations, but you shall not borrow, and you shall rule many nations, but they shall not rule you.","For the LORD your God blesses you, as he promised you: and you shall lend unto many nations, but you shall not borrow; and you shall reign over many nations, but they shall not reign over you.","(for the Lord thy God has blessed thee in the way of which he spoke to thee,) then thou shalt lend to many nations, but thou shalt not borrow; and thou shalt rule over many nations, but they shall not rule over thee.",0.849,0.102
Jeremiah 22:2,Jeremiah,22,2,0,none,different_from_both,"and say, Hear the word of the Lord, king of Judah seated on throne of David, you and your house and your people and those entering by these gates.","And say, Hear the word of the LORD, O king of Judah, that sit upon the throne of David, you, and your servants, and your people that enter in by these gates:","and thou shalt say,",0.870,0.125
2 Chronicles 6:34,2 Chronicles,6,34,0,none,different_from_both,"If your people go out to battle against their enemies on way where you send them, and they pray to you by way of this city which you chose and house which I built to your name,","If your people go out to war against their enemies by the way that you shall send them, and they pray unto you toward this city which you have chosen, and the house which I have built for your name;","And if thy people shall go forth to war against their enemies by the way by which thou shalt send them, and shall pray to thee toward this city which thou hast chosen, and toward the house which I have built to thy name;",0.840,0.097
2 Chronicles 6:14,2 Chronicles,6,14,0,none,different_from_both,"And he said, Lord God of Israel, there is no God like you in heaven and on earth, keeping covenant and mercy for your servants walking before you with whole heart,","And said, O LORD God of Israel, there is no God like you in the heaven, nor in the earth; which keep covenant, and show mercy unto your servants, that walk before you with all their hearts:","and said,",0.833,0.096
2 Samuel 15:24,2 Samuel,15,24,0,none,different_from_both,"And behold, also Zadok and all the Levites with him carrying the ark of the covenant of the Lord from Abiathar, and they set the ark of God down, and Abiathar went up until all the people ceased passing out of the city.","And lo Zadok also, and all the Levites were with him, bearing the ark of the covenant of God: and they set down the ark of God; and Abiathar went up, until all the people had done passing out of the city.","And behold also Sadoc, and all the Levites were with him, bearing the ark of the covenant of the Lord from Bæthar: and they set down the ark of God; and Abiathar went up, until all the people had passed out of the city.",0.838,0.107
2 Kings 4:8,2 Kings,4,8,0,none,different_from_both,"And it came to be one day Elisha passed through to Shunem, and there was a great woman there, and she constrained him to eat bread. And it came to be, as often as he went in, he turned aside there to eat.","And it fell upon a certain day, that Elisha passed to Shunem, where was a great woman; and she constrained him to eat bread. And so it was, that as often as he passed by, he turned in thither to eat bread.","And a day came, when Elisaie passed over to Soman, and there was a great lady there, and she constrained him to eat bread: and it came to pass as often as he went into the city, that he turned aside to eat there.",0.773,0.045
Ezekiel 46:17,Ezekiel,46,17,0,none,different_from_both,"And if he gives a gift from his inheritance to one of his servants, it will be his until the year of release, and it will return to the ruler; only inheritance of his sons will remain theirs.","But if he give a gift of his inheritance to one of his servants, then it shall be his to the year of liberty; after it shall return to the prince: but his inheritance shall be his sons' for them.","But if he give a gift to one of his servants, then it shall belong to him until the year of release; and then he shall restore it to the prince: but of the inheritance of his sons the possession shall continue to them.",0.753,0.025
1 Chronicles 15:29,1 Chronicles,15,29,0,none,different_from_both,"And it came to pass, ark of covenant of the Lord came as far as City of David, and Michal daughter of Saul looked through window and saw king David dancing and playing, and she despised him in her soul.","And it came to pass, as the ark of the covenant of the LORD came to the city of David, that Michal, the daughter of Saul looking out at a window saw king David dancing and playing: and she despised him in her heart.","And the ark of the covenant of the Lord arrived, and came to the city of David; and Melchol the daughter of Saul looked down through the window, and saw king David dancing and playing: and she despised him in her heart.",0.799,0.073
Exodus 26:12,Exodus,26,12,0,none,different_from_both,"And the extra part in the coverings of the tent, the half-covering that remains, you shall let hang over the back of the tent.","And the remnant that remains of the curtains of the tent, the half curtain that remains, shall hang over the backside of the tabernacle.","And thou shalt fix at the end that which is over in the skins of the tabernacle; the half of the skin that is left shalt thou fold over, according to the overplus of the skins of the tabernacle; thou shalt fold it over behind the tabernacle.",0.773,0.050
Genesis 48:17,Genesis,48,17,0,none,different_from_both,"And Joseph, seeing that his father laid his right hand on Ephraim's head, it seemed grievous to him, and Joseph took hold of his father's hand to remove it from Ephraim's head onto Manasseh's head.","And when Joseph saw that his father laid his right hand upon the head of Ephraim, it displeased him: and he held up his father's hand, to remove it from Ephraim's head unto Manasseh's head.","And Joseph having seen that his father put his right hand on the head of Ephraim—it seemed grievous to him; and Joseph took hold of the hand of his father, to remove it from the head of Ephraim to the head of Manasse.",0.803,0.084
Ruth 1:16,Ruth,1,16,0,none,different_from_both,"And Ruth said, Do not press me to leave you or to turn back from behind you, because wherever you go, I will go, and wherever you lodge, I will lodge. Your people shall be my people, and your God my God.","And Ruth said, Implore me not to leave you, or to return from following after you: for where you go, I will go; and where you lodge, I will lodge: your people shall be my people, and your God my God:","And Ruth said, Intreat me not to leave thee, or to return from following thee; for whithersoever thou goest, I will go, and wheresoever thou lodgest, I will lodge; thy people shall be my people, and thy God my God.",0.847,0.130
1 Chronicles 15:24,1 Chronicles,15,24,0,none,different_from_both,"And Shebaniah and Jehoshaphat and Nathanael and Amasai and Zechariah and Benaiah and Eliezer, the priests, were blowing trumpets before ark of God, and Obededom and Iia were gatekeepers of ark of God.","And Shebaniah, and Jehoshaphat, and Nethaneel, and Amasai, and Zechariah, and Benaiah, and Eliezer, the priests, did blow with the trumpets before the ark of God: and Obededom and Jehiah were doorkeepers for the ark.","And Somnia, and Josaphat, and Nathanael, and Amasai, and Zacharia, and Banæa, and Eliezer, the priests, were sounding with trumpets before the ark of God: and Abdedom and Jeia were door-keepers of the ark of God.",0.826,0.111
Leviticus 4:34,Leviticus,4,34,0,none,different_from_both,"And the priest shall take some of the blood of the sin-offering with his finger and place it on the horns of the altar of whole burnt offering, and he shall pour out all its blood at the base of the altar of whole burnt offering.","And the priest shall take of the blood of the sin offering with his finger, and put it upon the horns of the altar of burnt offering, and shall pour out all the blood thereof at the bottom of the altar:","And the priest shall take of the blood of the sin-offering with his finger, and shall put it on the horns of the altar of whole-burnt-offerings, and he shall pour out all its blood by the bottom of the altar of whole-burnt-offering.",0.845,0.132
1 Kings 13:22,1 Kings,13,22,0,none,different_from_both,"and you turned back and ate bread and drank water in the place of which he spoke to you, saying, Eat no bread and drink no water, your body shall certainly not enter into the tomb of your fathers.","But came back, and have eaten bread and drunk water in the place, of the which the Lord did say to you, Eat no bread, and drink no water; your carcass shall not come unto the tomb of your fathers.","but hast returned, and eaten bread and drunk water in the place of which he spoke to thee, saying, Thou shalt not eat bread, and shalt not drink water; therefore thy body shall in nowise enter into the sepulchre of thy fathers.",0.780,0.068
Nehemiah 9:10,Nehemiah,9,10,0,none,different_from_both,"And you gave signs in Egypt against Pharaoh and all his servants and all the people of his land, because you knew that they acted proudly against them, and you made a name for yourself as this day.","And showed signs and wonders upon Pharaoh, and on all his servants, and on all the people of his land: for you knew that they dealt proudly against them. So did you get you a name, as it is this day.","And thou shewedst signs and wonders in Egypt, on Pharao and all his servants, and on all the people of his land: for thou knowest that they behaved insolently against them: and thou madest thyself a name, as at this day.",0.775,0.064
Numbers 6:3,Numbers,6,3,0,none,different_from_both,"shall separate himself from wine and strong drink. He shall not drink vinegar from wine or vinegar from strong drink, and he shall not drink whatever is produced from grapes, and he shall not eat fresh grapes or raisins.","He shall separate himself from wine and strong drink, and shall drink no vinegar of wine, or vinegar of strong drink, neither shall he drink any liquor of grapes, nor eat moist grapes, or dried.","he shall purely abstain from wine and strong drink; and he shall drink no vinegar of wine or vinegar of strong drink; and whatever is made of the grape he shall not drink; neither shall he eat fresh grapes or raisins,",0.767,0.056
Judges 11:31,Judges,11,31,0,none,different_from_both,"then it shall be that whoever comes out from the doors of my house to meet me when I return in peace from the sons of Ammon, that one shall be the Lord's, and I will offer him up as a whole burnt offering.","Then it shall be, that whatsoever comes out of the doors of my house to meet me, when I return in peace from the children of Ammon, shall surely be the LORD's, and I will offer it up for a burnt offering.","then it shall come to pass that whosoever shall first come out of the door of my house to meet me when I return in peace from the children of Ammon, he shall be the Lord's: I will offer him up for a whole-burnt-offering.",0.882,0.173
Genesis 24:15,Genesis,24,15,0,none,different_from_both,"And it happened before he finished speaking in his mind, that at once Rebekah came out, born to Bethuel son of Milcah wife of Nahor, Abraham's brother, having her water jar on her shoulders.","And it came to pass, before he had done speaking, that, behold, Rebekah came out, who was born to Bethuel, son of Milcah, the wife of Nahor, Abraham's brother, with her pitcher upon her shoulder.","And it came to pass before he had done speaking in his mind, that behold, Rebecca the daughter of Bathuel, the son of Melcha, the wife of Nachor, and the same the brother of Abraam, came forth, having a water-pot on her shoulders.",0.772,0.064
2 Kings 5:5,2 Kings,5,5,0,none,different_from_both,"And the king of Syria said to Naaman, Come, go in, and I will send a letter to the king of Israel. And he went and took in his hand ten talents of silver and six thousand pieces of gold and ten changes of garments.","And the king of Syria said, Go to, go, and I will send a letter unto the king of Israel. And he departed, and took with him ten talents of silver, and six thousand pieces of gold, and ten changes of raiment.","And the king of Syria said to Naiman, Go to, go, and I will send a letter to the king of Israel. And he went, and took in his hand ten talents of silver, and six thousand pieces of gold, and ten changes of raiment.",0.892,0.188
Ezekiel 16:3,Ezekiel,16,3,0,none,different_from_both,"and say, Thus says the Lord to Jerusalem: Your root and your birth are from land of Canaan; your father was Amorite and your mother Hittite.","And say, Thus says the Lord GOD unto Jerusalem; Your birth and your nativity is of the land of Canaan; your father was an Amorite, and your mother an Hittite.","and thou shalt say,",0.858,0.156
Numbers 3:27,Numbers,3,27,0,none,different_from_both,To Kohath belonged the clan of the Amramites and the clan of the Issaharites and the clan of the Hebronites and the clan of the Uzzielites. These are the clans of Kohath.,"And of Kohath was the family of the Amramites, and the family of the Izeharites, and the family of the Hebronites, and the family of the Uzzielites: these are the families of the Kohathites.","To Caath belonged one division, that of Amram, and another division, that of Issaar, and another division, that of Chebron, and another division, that of Oziel: these are the divisions of Caath, according to number.",0.799,0.102
2 Kings 9:16,2 Kings,9,16,0,none,different_from_both,"And Jehu mounted and went to Jezreel, because Joram was being healed there, and Ahaziah king of Judah had gone down to see Joram.","So Jehu rode in a chariot, and went to Jezreel; for Joram lay there. And Ahaziah king of Judah was come down to see Joram.","And Ju rode and advanced, and came down to Jezrael; for Joram king of Israel was getting healed in Jezrael of the arrow-wounds wherewith the Syrians had wounded him in Rammath in the war with Azael king of Syria; for he was strong and a mighty man: and Ochozias king of Juda was come down to see Joram.",0.762,0.066
Judges 3:25,Judges,3,25,0,none,different_from_both,"And they waited until they were ashamed, and behold, there was no one opening the doors of the upper room. And they took the key and opened them, and behold, their lord had fallen dead upon the ground.","And they tarried till they were ashamed: and, behold, he opened not the doors of the parlour; therefore they took a key, and opened them: and, behold, their lord was fallen down dead on the earth.","And they waited till they were ashamed, and, behold, there was no one that opened the doors of the upper chamber; and they took the key, and opened them; and, behold, their lord was fallen down dead upon the earth.",0.801,0.110
Jeremiah 3:25,Jeremiah,3,25,0,none,different_from_both,"We lay down in our shame, and our dishonor covered us, because before our God we sinned, we and our fathers, from our youth until this day, and did not obey voice of the Lord our God.","We lie down in our shame, and our confusion covers us: for we have sinned against the LORD our God, we and our fathers, from our youth even unto this day, and have not obeyed the voice of the LORD our God.","We have lain down in our shame, and our disgrace has covered us: because we and our fathers have sinned before our God, from our youth until this day; and we have not hearkened to the voice of the Lord our God.",0.761,0.073
2 Chronicles 6:23,2 Chronicles,6,23,0,none,different_from_both,"then you shall hear from heaven and do and judge your servants, repaying lawless one, to return his ways upon his head, and justifying righteous one, to give to him according to his righteousness.","Then hear you from heaven, and do, and judge your servants, by requiting the wicked, by recompensing his way upon his own head; and by justifying the righteous, by giving him according to his righteousness.","then shalt thou hearken out of heaven, and do, and judge thy servants, to recompense the transgressor, and to return his ways upon his head: and to justify the righteous, to recompense him according to his righteousness.",0.779,0.094
1 Samuel 4:8,1 Samuel,4,8,0,none,different_from_both,Woe to us. Who will rescue us from the hand of these strong gods? These are the gods who struck Egypt with every plague and in the wilderness.,Woe unto us! who shall deliver us out of the hand of these mighty Gods? these are the Gods that stroke the Egyptians with all the plagues in the wilderness.,"Woe to us, O Lord, deliver us to-day, for such a thing has not happened aforetime: woe to us, who shall deliver us out of the hand of these mighty Gods? these are the Gods that smote Egypt with every plague, and in the wilderness.",0.767,0.083
Deuteronomy 12:28,Deuteronomy,12,28,0,none,different_from_both,"Keep and hear and do all these words that I command you, so that it may be well with you and with your sons forever, if you do what is good and pleasing before the Lord your God.","Observe and hear all these words which I command you, that it may go well with you, and with your children after you for ever, when you do that which is good and right in the sight of the LORD your God.","Beware and hearken, and thou shalt do all the commands which I charge thee, that it may be well with thee and with thy sons for ever, if thou shalt do that which is pleasing and good before the Lord thy God.",0.767,0.090
1 Kings 13:8,1 Kings,13,8,0,none,different_from_both,"And the man of God said to the king, If you give me half your house, I will not go in with you, and I will certainly not eat bread nor certainly drink water in this place.","And the man of God said unto the king, If you will give me half yours house, I will not go in with you, neither will I eat bread nor drink water in this place:","And the man of God said to the king, If thou shouldest give me the half of thine house, I would not go in with thee, neither will I eat bread, neither will I drink water in this place; for thus the Lord charged me by his word, saying,",0.882,0.208
2 Kings 20:20,2 Kings,20,20,0,none,different_from_both,"And the rest of the words of Hezekiah and all his might and what he did, the spring and the conduit, and how he brought the water into the city, are these not written in the book of the words of the days for the kings of Judah?","And the rest of the acts of Hezekiah, and all his might, and how he made a pool, and a conduit, and brought water into the city, are they not written in the book of the chronicles of the kings of Judah?","And the rest of the acts of Ezekias, and all his might, and all that he made, the fountain and the aqueduct, and how he brought water into the city, are not these things written in the book of the chronicles of the kings of Juda?",0.831,0.157
Deuteronomy 27:2,Deuteronomy,27,2,0,none,different_from_both,"And it shall be, on the day you cross the Jordan into the land that the Lord your God gives you, you shall set up for yourself great stones and whitewash them with lime,","And it shall be on the day when all of you shall pass over Jordan unto the land which the LORD your God gives you, that you shall set you up great stones, and smear them with plaster:","And it shall come to pass in the day when ye shall cross over Jordan into the land which the Lord thy God gives thee, that thou shalt set up for thyself great stones, and shalt plaster them with plaster.",0.786,0.115
Judges 1:10,Judges,1,10,0,none,different_from_both,"And Judah went against the Canaanite dwelling in Hebron, and Hebron came out opposite them; the name of Hebron before was Kirjatharba. And he struck Sheshai and Ahiman and Talmai, offspring of Anak.","And Judah went against the Canaanites that dwelt in Hebron: (now the name of Hebron before was Kirjatharba:) and they slew Sheshai, and Ahiman, and Talmai.","And Judas went to the Chananite who dwelt in Chebron; and Chebron came out against him; [and the name of Chebron before was Cariatharbocsepher:] and they smote Sessi, and Achiman, and Tholmi, children of Enac.",0.792,0.122
Deuteronomy 11:29,Deuteronomy,11,29,0,none,different_from_both,"And it shall be, when the Lord your God brings you into the land into which you are crossing there to inherit it, then you shall place the blessing on Mount Gerizim and the curse on Mount Ebal.","And it shall come to pass, when the LORD your God has brought you in unto the land where you go to possess it, that you shall put the blessing upon mount Gerizim, and the curse upon mount Ebal.","And it shall come to pass when the Lord thy God shall have brought thee into the land into which thou goest over to inherit it, then thou shalt put blessing on mount Garizin, and the curse upon mount Gæbal.",0.786,0.117
2 Samuel 23:25,2 Samuel,23,25,0,none,same_as_mt_differs_from_brenton,"Shammah the Harodite, Elika the Harodite,","Shammah the Harodite, Elika the Harodite,",Sæma the Rudæan.,1.000,0.333
Genesis 43:23,Genesis,43,23,0,none,different_from_both,"And he said to them, Mercy to you. Do not be afraid. Your God and the God of your fathers gave you treasures in your bags, and I have your approved money. And he brought Simeon out to them.","And he said, Peace be to you, fear not: your God, and the God of your father, has given you treasure in your sacks: I had your money. And he brought Simeon out unto them.","And he said to them, God deal mercifully with you; be not afraid; your God, and the God of your fathers, has given you treasures in your sacks, and I have enough of your good money. And he brought Symeon out to them.",0.817,0.164
Ezekiel 2:1,Ezekiel,2,1,0,none,different_from_both,"And he said to me, Son of man, stand upon your feet and I will speak to you.","And he said unto me, Son of man, stand upon your feet, and I will speak unto you.","This was the appearance of the likeness of the glory of the Lord. And I saw and fell upon my face, and heard the voice of one speaking: and he said to me, Son of man, stand upon thy feet, and I will speak to thee.",0.973,0.323
Deuteronomy 7:12,Deuteronomy,7,12,0,none,different_from_both,"And it shall be, when you hear all these ordinances and keep and do them, then the Lord your God will keep for you the covenant and the mercy that he swore to your fathers.","Wherefore it shall come to pass, if all of you hearken to these judgments, and keep, and do them, that the LORD your God shall keep unto you the covenant and the mercy which he swore unto your fathers:","And it shall come to pass when ye shall have heard these ordinances, and shall have kept and done them, that the Lord thy God shall keep for thee the covenant and the mercy, which he sware to your fathers.",0.778,0.130
1 Samuel 1:23,1 Samuel,1,23,0,none,different_from_both,"And Elkanah her husband said to her, Do what is good in your eyes; sit until you wean him. Only may the Lord establish what went out from your mouth. And the woman sat and nursed her son until she weaned him.","And Elkanah her husband said unto her, Do what seems you good; tarry until you have weaned him; only the LORD establish his word. So the woman abode, and gave her son suck until she weaned him.","And Helkana her husband said to her, Do that which is good in thine eyes, abide still until thou shalt have weaned him; but may the Lord establish that which comes out of thy mouth: and the woman tarried, and suckled her son until she had weaned him.",0.759,0.112
Genesis 42:28,Genesis,42,28,0,none,different_from_both,"And he said to his brothers, My money has been returned to me, and look, this is in my bag. And their heart was stunned, and they were troubled to one another, saying, What is this that God has done to us?","And he said unto his brethren, My money is restored; and, lo, it is even in my sack: and their heart failed them, and they were afraid, saying one to another, What is this that God has done unto us?","And he said to his brethren, My money has been restored to me, and behold this is in my sack. And their heart was wonder-struck, and they were troubled, saying one to another, What is this that God has done to us?",0.772,0.129
1 Chronicles 21:26,1 Chronicles,21,26,0,none,different_from_both,"And David built there altar to the Lord and offered whole burnt offerings and offerings of salvation, and cried out to the Lord, and he answered him with fire from heaven upon altar of whole burnt offering and consumed whole burnt offering.","And David built there an altar unto the LORD, and offered burnt offerings and peace offerings, and called upon the LORD; and he answered him from heaven by fire upon the altar of burnt offering.","And David built there an altar to the Lord, and offered up whole-burnt-offerings and peace-offerings: and he cried to the Lord, and he answered him by fire out of heaven on the altar of whole-burnt-offerings, and it consumed the whole-burnt-offering.",0.754,0.112
2 Samuel 3:27,2 Samuel,3,27,0,none,different_from_both,"And Abner returned to Hebron, and Joab turned him aside by the side of the gate to speak with him in ambush, and struck him there in the belly, and he died for the blood of Asahel brother of Joab.","And when Abner was returned to Hebron, Joab took him aside in the gate to speak with him quietly, and stroke him there under the fifth rib, that he died, for the blood of Asahel his brother.","And he brought back Abenner to Chebron, and Joab caused him to turn aside from the gate to speak to him, laying wait for him: and he smote him there in the loins, and he died for the blood of Asael the brother of Joab.",0.769,0.128
Judges 18:30,Judges,18,30,0,none,different_from_both,"And the sons of Dan set up for themselves the carved image of Micah, and Jonathan son of Gershom, son of Moses, he and his sons were priests to the tribe of Dan until the day of the captivity of the land.","And the children of Dan set up the graven image: and Jonathan, the son of Gershom, the son of Manasseh, he and his sons were priests to the tribe of Dan until the day of the captivity of the land.","And the children of Dan set up the graven image for themselves; and Jonathan son of Gerson son of Manasse, he and his sons were priests to the tribe of Dan till the time of the carrying away of the nation.",0.859,0.219
